Name,PTS,FGM,FGA,PM3,PA3,AST,Game_day,Team
Bam Adebayo,14,4,12,0,0,2,2022-01-17,MIA
Tyler Herro,23,8,16,1,3,3,2022-01-17,MIA
Duncan Robinson,8,3,6,2,5,1,2022-01-17,MIA
P.J. Tucker,5,2,3,1,2,1,2022-01-17,MIA
Jimmy Butler,19,6,14,0,1,10,2022-01-17,MIA
Gabe Vincent,15,6,12,3,6,0,2022-01-17,MIA
Dewayne Dedmon,8,4,6,0,0,0,2022-01-17,MIA
Grayson Allen,9,3,6,1,2,4,2022-01-17,MIL
Bobby Portis,13,6,12,1,4,0,2022-01-17,MIL
Giannis Antetokounmpo,27,8,20,1,3,6,2022-01-17,MIL
Khris Middleton,34,11,22,4,9,4,2022-01-17,MIL
George Hill,5,2,4,1,3,2,2022-01-17,MIL
Jordan Nwora,0,0,2,0,2,0,2022-01-17,MIL
Donte DiVincenzo,9,3,10,3,7,3,2022-01-17,SAC
Pat Connaughton,14,5,6,4,5,2,2022-01-17,MIL
Wesley Matthews,3,1,6,1,3,0,2022-01-17,MIL
Blake Griffin,5,2,5,1,4,3,2022-01-17,BKN
Day'Ron Sharpe,10,4,8,0,0,2,2022-01-17,BKN
Cam Thomas,6,3,4,0,1,0,2022-01-17,BKN
Kessler Edwards,11,4,8,3,6,0,2022-01-17,BKN
Kyrie Irving,27,12,23,3,6,9,2022-01-17,BKN
James Harden,22,5,12,2,4,10,2022-01-17,PHI
LaMarcus Aldridge,13,6,10,0,1,1,2022-01-17,BKN
Bruce Brown,2,1,3,0,0,1,2022-01-17,BKN
Patty Mills,11,4,10,3,8,1,2022-01-17,BKN
RJ Barrett,18,7,18,2,6,5,2022-01-17,NYK
Obi Toppin,11,5,8,1,3,0,2022-01-17,NYK
Immanuel Quickley,12,5,11,2,5,7,2022-01-17,NYK
Quentin Grimes,5,2,4,1,3,3,2022-01-17,NYK
Miles McBride,0,0,2,0,1,1,2022-01-17,NYK
Taj Gibson,1,0,2,0,0,0,2022-01-17,NYK
Jericho Sims,0,0,0,0,0,0,2022-01-17,NYK
Mitchell Robinson,10,4,6,0,0,0,2022-01-17,NYK
Julius Randle,18,6,16,3,7,3,2022-01-17,NYK
Evan Fournier,6,2,9,2,5,2,2022-01-17,NYK
Alec Burks,6,1,4,1,4,1,2022-01-17,NYK
Cole Anthony,9,3,13,1,7,6,2022-01-17,ORL
Admiral Schofield,0,0,1,0,1,0,2022-01-17,ORL
Ignas Brazdeikis,0,0,0,0,0,1,2022-01-17,ORL
Moritz Wagner,14,5,9,2,4,2,2022-01-17,ORL
Mo Bamba,5,2,5,1,2,1,2022-01-17,ORL
Gary Harris,10,4,11,1,5,0,2022-01-17,ORL
Robin Lopez,8,3,6,0,0,2,2022-01-17,ORL
Terrence Ross,4,1,4,1,2,2,2022-01-17,ORL
Chuma Okeke,5,2,7,1,3,2,2022-01-17,ORL
R.J. Hampton,9,2,6,1,1,0,2022-01-17,ORL
Jalen Suggs,10,5,10,0,2,3,2022-01-17,ORL
Franz Wagner,14,7,18,0,5,2,2022-01-17,ORL
Torrey Craig,4,2,3,0,1,2,2022-01-17,PHX
Duane Washington Jr.,10,4,10,2,5,2,2022-01-17,IND
Chris Duarte,24,10,14,2,5,6,2022-01-17,IND
Oshae Brissett,13,4,10,1,4,1,2022-01-17,IND
Keifer Sykes,0,0,0,0,0,0,2022-01-17,IND
Domantas Sabonis,19,7,14,0,1,7,2022-01-17,SAC
Caris LeVert,26,9,18,2,6,4,2022-01-17,CLE
Lance Stephenson,2,1,7,0,2,5,2022-01-17,IND
Justin Holiday,18,6,12,5,8,1,2022-01-17,SAC
Goga Bitadze,17,7,9,1,1,2,2022-01-17,IND
Georges Niang,7,2,4,2,4,2,2022-01-17,PHI
Furkan Korkmaz,6,3,10,0,5,5,2022-01-17,PHI
Joel Embiid,32,10,20,3,4,1,2022-01-17,PHI
Andre Drummond,2,1,2,0,0,1,2022-01-17,BKN
Tobias Harris,7,3,11,1,2,1,2022-01-17,PHI
Paul Reed,0,0,1,0,0,0,2022-01-17,PHI
Myles Powell,0,0,2,0,1,1,2022-01-17,PHI
Charles Bassey,4,2,2,0,0,0,2022-01-17,PHI
Charlie Brown Jr.,6,2,7,0,1,0,2022-01-17,PHI
Isaiah Joe,8,3,8,1,6,0,2022-01-17,PHI
Seth Curry,8,4,9,0,2,5,2022-01-17,BKN
Tyrese Maxey,18,5,10,0,1,3,2022-01-17,PHI
Bismack Biyombo,17,8,10,0,0,1,2022-01-17,PHX
Devin Booker,48,18,33,5,13,6,2022-01-17,PHX
Cameron Payne,11,5,12,1,3,4,2022-01-17,PHX
Landry Shamet,1,0,3,0,3,1,2022-01-17,PHX
Cameron Johnson,8,3,5,0,2,1,2022-01-17,PHX
Chris Paul,15,7,12,1,4,12,2022-01-17,PHX
Elfrid Payton,0,0,1,0,0,1,2022-01-17,PHX
Jalen Smith,0,0,0,0,0,0,2022-01-17,IND
Ish Wainright,0,0,0,0,0,0,2022-01-17,PHX
JaVale McGee,6,3,5,0,0,0,2022-01-17,PHX
Jae Crowder,8,3,8,2,6,1,2022-01-17,PHX
Mikal Bridges,7,2,6,0,1,2,2022-01-17,PHX
Trendon Watford,8,3,5,0,1,0,2022-01-17,POR
Greg Brown III,0,0,0,0,0,0,2022-01-17,POR
Keljin Blevins,0,0,3,0,2,0,2022-01-17,POR
Anfernee Simons,13,4,11,0,5,7,2022-01-17,POR
Robert Covington,7,3,10,1,5,2,2022-01-17,LAC
Ben McLemore,14,4,11,4,10,1,2022-01-17,POR
Dennis Smith Jr.,6,2,5,0,0,2,2022-01-17,POR
Jusuf Nurkic,21,10,21,0,3,2,2022-01-17,POR
Tony Snell,0,0,2,0,2,0,2022-01-17,NOP
CJ McCollum,16,7,13,2,4,2,2022-01-17,NOP
Nassir Little,13,4,9,0,2,4,2022-01-17,POR
Derrick White,14,5,12,0,2,7,2022-01-17,BOS
Lonnie Walker IV,4,1,6,0,1,0,2022-01-17,SAS
Jock Landale,5,2,4,1,2,4,2022-01-17,SAS
Keldon Johnson,14,6,14,2,6,2,2022-01-17,SAS
Devin Vassell,10,4,12,2,7,0,2022-01-17,SAS
Dejounte Murray,18,7,16,2,5,4,2022-01-17,SAS
Drew Eubanks,1,0,0,0,0,0,2022-01-17,POR
Joe Wieskamp,0,0,0,0,0,0,2022-01-17,SAS
Doug McDermott,15,6,10,2,5,0,2022-01-17,SAS
Jakob Poeltl,23,9,12,0,0,4,2022-01-17,SAS
Keita Bates-Diop,3,1,6,0,2,0,2022-01-17,SAS
Jeremiah Robinson-Earl,9,4,10,1,5,2,2022-01-17,OKC
Aaron Wiggins,8,2,5,2,4,0,2022-01-17,OKC
Luguentz Dort,18,7,14,2,5,2,2022-01-17,OKC
Ty Jerome,6,2,7,2,6,2,2022-01-17,OKC
Darius Bazley,2,1,8,0,2,1,2022-01-17,OKC
Tre Mann,6,1,3,0,1,2,2022-01-17,OKC
Josh Giddey,10,4,10,2,4,5,2022-01-17,OKC
Mike Muscala,7,3,7,1,4,1,2022-01-17,OKC
Shai Gilgeous-Alexander,34,11,18,1,4,5,2022-01-17,OKC
Mamadi Diakite,2,1,1,0,0,0,2022-01-17,OKC
Pascal Siakam,18,9,20,0,2,10,2022-01-17,TOR
Scottie Barnes,16,6,18,2,5,6,2022-01-17,TOR
Precious Achiuwa,6,3,8,0,1,1,2022-01-17,TOR
Justin Champagnie,0,0,0,0,0,1,2022-01-17,TOR
Fred VanVleet,22,7,17,6,16,4,2022-01-17,TOR
OG Anunoby,14,5,14,3,8,2,2022-01-17,TOR
Chris Boucher,23,7,13,2,4,0,2022-01-17,TOR
Mike Conley,20,6,12,5,9,4,2022-01-17,UTA
Rudy Gobert,19,6,8,0,0,0,2022-01-17,UTA
Bojan Bogdanovic,5,1,9,0,4,6,2022-01-17,UTA
Jordan Clarkson,6,2,13,0,6,1,2022-01-17,UTA
Eric Paschall,0,0,0,0,0,0,2022-01-17,UTA
Trent Forrest,1,0,0,0,0,0,2022-01-17,UTA
Royce O'Neale,13,3,5,3,5,2,2022-01-17,UTA
Donovan Mitchell,13,6,18,0,8,7,2022-01-17,UTA
Rudy Gay,9,4,12,1,8,1,2022-01-17,UTA
Joe Ingles,9,3,6,3,6,0,2022-01-17,UTA
Steven Adams,2,1,3,0,0,6,2022-01-17,MEM
Kyle Anderson,4,2,5,0,1,2,2022-01-17,MEM
Ja Morant,25,9,17,1,3,3,2022-01-17,MEM
Jarrett Culver,2,1,2,0,0,1,2022-01-17,MEM
John Konchar,9,4,8,1,2,1,2022-01-17,MEM
Dakota Mathias,0,0,1,0,1,0,2022-01-17,MEM
Xavier Tillman,0,0,1,0,0,0,2022-01-17,MEM
Ziaire Williams,2,0,4,0,3,1,2022-01-17,MEM
Santi Aldama,0,0,1,0,0,0,2022-01-17,MEM
Tyus Jones,11,4,8,1,2,8,2022-01-17,MEM
Jaren Jackson Jr.,14,6,11,1,2,0,2022-01-17,MEM
De'Anthony Melton,10,3,6,3,4,1,2022-01-17,MEM
Brandon Clarke,15,7,8,0,0,2,2022-01-17,MEM
Desmond Bane,25,10,17,3,7,4,2022-01-17,MEM
Spencer Dinwiddie,7,1,5,1,5,7,2022-01-17,DAL
Montrezl Harrell,18,6,9,0,2,1,2022-01-17,CHA
Aaron Holiday,0,0,0,0,0,0,2022-01-17,PHX
Thomas Bryant,15,6,11,1,4,1,2022-01-17,WAS
Kyle Kuzma,15,6,13,1,3,4,2022-01-17,WAS
Rui Hachimura,11,3,6,1,2,0,2022-01-17,WAS
Raul Neto,6,3,5,0,1,3,2022-01-17,WAS
Anthony Gill,0,0,0,0,0,0,2022-01-17,WAS
Deni Avdija,2,1,1,0,0,0,2022-01-17,WAS
Daniel Gafford,5,2,2,0,0,0,2022-01-17,WAS
Bradley Beal,13,5,12,1,3,6,2022-01-17,WAS
Corey Kispert,11,3,8,2,4,2,2022-01-17,WAS
Kentavious Caldwell-Pope,14,6,15,2,6,1,2022-01-17,WAS
Gordon Hayward,16,6,16,3,8,4,2022-01-17,CHA
Ish Smith,3,1,6,0,0,0,2022-01-17,WAS
Mason Plumlee,5,2,2,0,0,3,2022-01-17,CHA
P.J. Washington,2,1,6,0,2,0,2022-01-17,CHA
Nick Richards,0,0,0,0,0,0,2022-01-17,CHA
Miles Bridges,38,14,20,5,9,5,2022-01-17,CHA
Terry Rozier,22,8,18,4,11,7,2022-01-17,CHA
Cody Martin,9,3,11,2,5,3,2022-01-17,CHA
Jalen McDaniels,2,1,7,0,4,1,2022-01-17,CHA
Jeff Green,4,2,4,0,0,1,2022-01-16,DEN
Davon Reed,5,2,4,1,2,1,2022-01-16,DEN
Zeke Nnaji,2,1,1,0,0,0,2022-01-16,DEN
Facundo Campazzo,2,1,7,0,5,1,2022-01-16,DEN
Bones Hyland,13,5,14,3,10,3,2022-01-16,DEN
Will Barton,16,6,17,2,8,4,2022-01-16,DEN
James Ennis III,2,1,2,0,0,0,2022-01-16,DEN
Aaron Gordon,20,8,15,2,5,6,2022-01-16,DEN
Nikola Jokic,25,10,18,2,5,14,2022-01-16,DEN
Monte Morris,13,6,13,1,8,2,2022-01-16,DEN
Juan Toscano-Anderson,5,1,3,1,2,0,2022-01-16,GSW
Andre Iguodala,0,0,4,0,4,1,2022-01-16,GSW
Otto Porter Jr.,12,5,9,2,5,4,2022-01-16,GSW
Damion Lee,8,3,5,1,2,2,2022-01-16,GSW
Jordan Poole,20,5,13,3,7,3,2022-01-16,GSW
Jonathan Kuminga,19,6,12,1,5,1,2022-01-16,GSW
Nemanja Bjelica,6,1,6,0,3,1,2022-01-16,GSW
Klay Thompson,13,5,14,3,8,2,2022-01-16,GSW
Andrew Wiggins,12,4,11,2,6,4,2022-01-16,GSW
Kevon Looney,4,2,5,0,0,2,2022-01-16,GSW
Chris Chiozza,0,0,0,0,0,0,2022-01-16,GSW
Jae'Sean Tate,10,5,6,0,1,2,2022-01-16,HOU
Armoni Brooks,0,0,5,0,5,1,2022-01-16,TOR
Kevin Porter Jr.,23,6,12,5,9,7,2022-01-16,HOU
Alperen Sengun,6,2,4,0,1,2,2022-01-16,HOU
Garrison Mathews,17,4,6,4,6,0,2022-01-16,HOU
Christian Wood,23,8,15,3,7,3,2022-01-16,HOU
Josh Christopher,0,0,1,0,1,0,2022-01-16,HOU
Kenyon Martin Jr.,9,4,6,1,2,1,2022-01-16,HOU
Jalen Green,15,6,10,1,3,4,2022-01-16,HOU
Eric Gordon,15,6,11,2,5,2,2022-01-16,HOU
Anthony Edwards,9,3,8,2,4,2,2022-01-16,MIN
Leandro Bolmaro,0,0,0,0,0,0,2022-01-16,MIN
Nathan Knight,0,0,2,0,0,0,2022-01-16,MIN
McKinley Wright IV,2,1,2,0,1,0,2022-01-16,MIN
Malik Beasley,16,5,10,5,9,3,2022-01-16,MIN
Taurean Prince,3,1,2,1,2,1,2022-01-16,MIN
Jaylen Nowell,17,6,9,3,5,4,2022-01-16,MIN
Naz Reid,9,4,5,1,1,1,2022-01-16,MIN
Jaden McDaniels,9,4,12,1,5,1,2022-01-16,MIN
Patrick Beverley,10,3,7,2,5,4,2022-01-16,MIN
D'Angelo Russell,7,2,9,0,5,12,2022-01-16,MIN
Karl-Anthony Towns,26,11,20,1,6,1,2022-01-16,MIN
Jake Layman,0,0,0,0,0,0,2022-01-16,MIN
Josh Okogie,1,0,0,0,0,0,2022-01-16,MIN
Jarred Vanderbilt,10,5,5,0,0,1,2022-01-16,MIN
Deandre Ayton,6,3,3,0,0,2,2022-01-16,PHX
Mikal Bridges,10,4,10,2,6,4,2022-01-16,PHX
Devin Booker,30,11,18,1,5,4,2022-01-16,PHX
Elfrid Payton,2,1,1,0,0,1,2022-01-16,PHX
Jae Crowder,9,3,4,3,4,3,2022-01-16,PHX
Bismack Biyombo,7,3,6,0,0,0,2022-01-16,PHX
Ish Wainright,7,3,4,1,1,0,2022-01-16,PHX
Jalen Smith,3,0,3,0,1,0,2022-01-16,IND
Landry Shamet,11,2,6,1,4,5,2022-01-16,PHX
Cameron Payne,20,8,12,3,6,5,2022-01-16,PHX
Chris Paul,10,4,10,0,0,6,2022-01-16,PHX
JaVale McGee,20,9,10,0,0,0,2022-01-16,PHX
Alex Len,1,0,3,0,0,2,2022-01-16,SAC
Maurice Harkless,5,2,4,0,1,1,2022-01-16,SAC
Buddy Hield,27,9,16,5,9,2,2022-01-16,IND
Davion Mitchell,16,7,12,2,4,7,2022-01-16,SAC
Terence Davis,17,6,14,2,10,5,2022-01-16,SAC
Chimezie Metu,14,6,14,1,6,1,2022-01-16,SAC
De'Aaron Fox,14,6,12,1,2,4,2022-01-16,SAC
Damian Jones,2,1,7,0,1,1,2022-01-16,SAC
Richaun Holmes,4,2,2,0,0,0,2022-01-16,SAC
Harrison Barnes,12,2,7,1,5,3,2022-01-16,SAC
Rudy Gay,7,2,7,1,3,0,2022-01-16,UTA
Mike Conley,8,3,6,2,5,6,2022-01-16,UTA
Rudy Gobert,18,7,7,0,0,2,2022-01-16,UTA
Jordan Clarkson,16,4,9,3,6,3,2022-01-16,UTA
Joe Ingles,3,1,5,1,4,5,2022-01-16,UTA
Eric Paschall,10,4,5,1,1,0,2022-01-16,UTA
Bojan Bogdanovic,21,8,15,1,4,5,2022-01-16,UTA
Royce O'Neale,11,4,6,2,4,1,2022-01-16,UTA
Denzel Valentine,0,0,0,0,0,0,2022-01-16,UTA
Donovan Mitchell,31,11,24,4,12,4,2022-01-16,UTA
Trent Forrest,0,0,0,0,0,0,2022-01-16,UTA
Luka Garza,5,2,3,1,1,0,2022-01-16,DET
Isaiah Stewart,5,2,8,0,1,2,2022-01-16,DET
Saddiq Bey,8,3,9,2,6,1,2022-01-16,DET
Killian Hayes,9,3,6,1,2,5,2022-01-16,DET
Hamidou Diallo,10,4,8,0,0,0,2022-01-16,DET
Josh Jackson,1,0,2,0,1,0,2022-01-16,SAC
Trey Lyles,18,6,8,0,1,2,2022-01-16,SAC
Saben Lee,2,1,4,0,1,3,2022-01-16,DET
Cassius Stanley,8,3,8,0,3,1,2022-01-16,DET
Cory Joseph,21,5,11,4,6,7,2022-01-16,DET
Cade Cunningham,21,9,15,1,3,4,2022-01-16,DET
De'Andre Hunter,8,3,9,1,6,2,2022-01-15,ATL
Kevin Huerter,6,2,8,0,4,6,2022-01-15,ATL
Onyeka Okongwu,12,6,6,0,0,0,2022-01-15,ATL
Timothe Luwawu-Cabarrot,5,2,3,1,2,0,2022-01-15,ATL
Delon Wright,4,1,2,1,1,2,2022-01-15,ATL
Danilo Gallinari,17,6,14,4,9,2,2022-01-15,ATL
Lou Williams,7,2,3,1,2,4,2022-01-15,ATL
Trae Young,29,11,23,4,12,5,2022-01-15,ATL
John Collins,13,5,8,2,5,1,2022-01-15,ATL
Gorgui Dieng,7,2,4,2,3,1,2022-01-15,ATL
Grant Williams,3,1,2,1,2,1,2022-01-15,BOS
Robert Williams III,14,5,8,0,0,6,2022-01-15,BOS
Jaylen Brown,19,8,19,0,5,4,2022-01-15,BOS
Dennis Schroder,16,6,9,1,1,8,2022-01-15,HOU
Enes Freedom,5,2,2,0,0,0,2022-01-15,BOS
Al Horford,15,7,11,1,3,1,2022-01-15,BOS
Josh Richardson,13,5,9,3,5,2,2022-01-15,SAS
Jayson Tatum,23,8,24,1,5,4,2022-01-15,BOS
Payton Pritchard,6,2,6,2,5,1,2022-01-15,BOS
Darius Garland,27,11,20,1,7,18,2022-01-15,CLE
Dylan Windler,6,2,5,2,5,1,2022-01-15,CLE
Evan Mobley,20,8,14,0,1,1,2022-01-15,CLE
Kevin Love,13,5,11,3,8,1,2022-01-15,CLE
Isaac Okoro,7,1,5,0,3,1,2022-01-15,CLE
Cedi Osman,2,1,4,0,2,0,2022-01-15,CLE
Lauri Markkanen,12,4,10,2,6,1,2022-01-15,CLE
Jarrett Allen,13,5,9,0,0,1,2022-01-15,CLE
Brandon Goodwin,2,1,4,0,1,4,2022-01-15,CLE
Lamar Stevens,5,2,5,1,2,0,2022-01-15,CLE
Jose Alvarado,7,2,7,1,6,2,2022-01-15,NOP
Trey Murphy III,0,0,0,0,0,0,2022-01-15,NOP
Naji Marshall,2,1,1,0,0,0,2022-01-15,NOP
Jaxson Hayes,11,3,5,0,0,1,2022-01-15,NOP
Gary Clark,0,0,0,0,0,0,2022-01-15,NOP
Herbert Jones,13,6,9,1,1,3,2022-01-15,NOP
Nickeil Alexander-Walker,10,4,9,1,3,2,2022-01-15,UTA
Devonte' Graham,10,4,9,2,7,4,2022-01-15,NOP
Jonas Valanciunas,13,6,12,0,1,2,2022-01-15,NOP
Garrett Temple,3,1,5,1,4,3,2022-01-15,NOP
Brandon Ingram,22,8,21,2,6,8,2022-01-15,NOP
Josh Hart,14,5,9,1,3,2,2022-01-15,POR
Ayo Dosunmu,21,9,10,3,3,10,2022-01-15,CHI
Troy Brown Jr.,2,1,2,0,1,1,2022-01-15,CHI
Alfonzo McKinnie,4,2,6,0,1,1,2022-01-15,CHI
Nikola Vucevic,27,12,20,2,7,6,2022-01-15,CHI
DeMar DeRozan,23,7,20,0,0,7,2022-01-15,CHI
Tony Bradley,6,3,3,0,0,0,2022-01-15,CHI
Coby White,19,7,16,5,10,5,2022-01-15,CHI
Matt Thomas,5,2,5,1,4,0,2022-01-15,CHI
Malcolm Hill,5,1,5,1,3,1,2022-01-15,CHI
Dwight Powell,6,1,1,0,0,1,2022-01-15,DAL
Marquese Chriss,2,0,2,0,1,0,2022-01-15,DAL
Dorian Finney-Smith,2,1,6,0,3,1,2022-01-15,DAL
Frank Ntilikina,3,1,2,1,1,1,2022-01-15,DAL
Sterling Brown,3,1,4,1,2,0,2022-01-15,DAL
Maxi Kleber,3,1,3,1,3,2,2022-01-15,DAL
Jalen Brunson,19,8,11,1,1,3,2022-01-15,DAL
Josh Green,7,3,6,1,3,2,2022-01-15,DAL
Luka Doncic,23,7,19,1,6,3,2022-01-15,DAL
Kristaps Porzingis,19,4,8,2,3,0,2022-01-15,WAS
Reggie Bullock,4,1,2,1,2,3,2022-01-15,DAL
Trey Burke,0,0,1,0,0,0,2022-01-15,DAL
Tim Hardaway Jr.,17,4,13,3,9,0,2022-01-15,DAL
Monte Morris,10,3,8,2,2,1,2022-01-15,DEN
James Ennis III,2,1,4,0,2,3,2022-01-15,DEN
Zeke Nnaji,8,3,11,1,4,0,2022-01-15,DEN
Facundo Campazzo,9,3,6,1,4,5,2022-01-15,DEN
Bones Hyland,27,8,15,6,10,2,2022-01-15,DEN
Davon Reed,11,4,7,3,4,2,2022-01-15,DEN
Jeff Green,26,10,14,4,5,4,2022-01-15,DEN
Nikola Jokic,17,7,12,1,2,13,2022-01-15,DEN
Aaron Gordon,11,4,9,3,5,4,2022-01-15,DEN
Will Barton,12,4,5,2,2,1,2022-01-15,DEN
Reggie Jackson,7,3,14,1,6,4,2022-01-15,LAC
Marcus Morris Sr.,15,6,17,3,7,5,2022-01-15,LAC
Nicolas Batum,13,4,9,1,4,1,2022-01-15,LAC
Eric Bledsoe,7,3,11,1,5,5,2022-01-15,LAC
Terance Mann,6,3,8,0,3,3,2022-01-15,LAC
Brandon Boston Jr.,4,2,9,0,2,3,2022-01-15,LAC
Serge Ibaka,10,4,11,2,3,0,2022-01-15,MIL
Amir Coffey,20,7,13,4,8,1,2022-01-15,LAC
Isaiah Hartenstein,6,3,3,0,0,0,2022-01-15,LAC
Ivica Zubac,6,3,5,0,0,2,2022-01-15,LAC
Malik Monk,4,2,5,0,1,6,2022-01-15,LAL
Talen Horton-Tucker,3,1,5,0,2,1,2022-01-15,LAL
Russell Westbrook,19,7,15,1,2,3,2022-01-15,LAL
Austin Reaves,5,1,5,0,1,1,2022-01-15,LAL
Wayne Ellington,3,1,4,1,4,0,2022-01-15,LAL
Stanley Johnson,2,1,2,0,1,0,2022-01-15,LAL
Trevor Ariza,9,3,5,3,5,3,2022-01-15,LAL
LeBron James,25,9,23,2,8,2,2022-01-15,LAL
Kent Bazemore,6,2,5,2,3,1,2022-01-15,LAL
Avery Bradley,3,1,2,1,2,1,2022-01-15,LAL
DeAndre Jordan,4,2,3,0,0,2,2022-01-15,PHI
Dwight Howard,13,6,8,0,1,1,2022-01-15,LAL
P.J. Tucker,10,4,9,2,4,1,2022-01-15,MIA
Jimmy Butler,8,1,11,0,2,9,2022-01-15,MIA
Dewayne Dedmon,5,2,4,0,1,0,2022-01-15,MIA
Duncan Robinson,2,1,9,0,8,1,2022-01-15,MIA
Max Strus,11,3,12,2,9,1,2022-01-15,MIA
Tyler Herro,16,4,11,2,4,3,2022-01-15,MIA
Caleb Martin,16,6,7,1,1,1,2022-01-15,MIA
Kyle Lowry,8,2,11,2,6,7,2022-01-15,MIA
Omer Yurtseven,22,10,12,0,0,1,2022-01-15,MIA
Grayson Allen,18,6,11,3,6,3,2022-01-15,MIL
Bobby Portis,11,4,8,1,3,0,2022-01-15,MIL
Rodney Hood,0,0,2,0,1,0,2022-01-15,LAC
Khris Middleton,16,3,12,2,6,5,2022-01-15,MIL
George Hill,8,3,9,2,5,3,2022-01-15,MIL
Wesley Matthews,5,2,10,1,8,1,2022-01-15,MIL
Giannis Antetokounmpo,30,6,17,1,3,4,2022-01-15,MIL
Pat Connaughton,5,1,3,1,3,0,2022-01-15,MIL
Donte DiVincenzo,3,1,5,1,4,3,2022-01-15,SAC
Jordan Nwora,0,0,0,0,0,0,2022-01-15,MIL
David Duke Jr.,0,0,0,0,0,0,2022-01-15,BKN
Day'Ron Sharpe,12,6,14,0,0,0,2022-01-15,BKN
Cam Thomas,20,9,13,2,5,0,2022-01-15,BKN
Kessler Edwards,16,6,10,4,5,2,2022-01-15,BKN
Patty Mills,21,7,13,3,7,3,2022-01-15,BKN
James Harden,27,9,15,2,5,15,2022-01-15,PHI
Blake Griffin,6,2,4,0,2,6,2022-01-15,BKN
Kevin Durant,12,4,8,1,2,2,2022-01-15,BKN
DeAndre' Bembry,0,0,1,0,0,2,2022-01-15,MIL
Bruce Brown,4,2,4,0,0,0,2022-01-15,BKN
Jevon Carter,2,1,2,0,1,0,2022-01-15,MIL
Taj Gibson,7,3,4,0,1,0,2022-01-15,NYK
Mitchell Robinson,14,6,8,0,0,0,2022-01-15,NYK
Immanuel Quickley,3,1,6,1,3,1,2022-01-15,NYK
Quentin Grimes,8,3,3,2,2,1,2022-01-15,NYK
Alec Burks,17,4,8,2,6,8,2022-01-15,NYK
Obi Toppin,0,0,0,0,0,1,2022-01-15,NYK
RJ Barrett,26,8,20,2,5,3,2022-01-15,NYK
Julius Randle,24,10,21,2,6,9,2022-01-15,NYK
Evan Fournier,18,7,13,4,8,1,2022-01-15,NYK
Chuma Okeke,6,2,8,2,6,0,2022-01-15,ORL
Ignas Brazdeikis,0,0,3,0,1,0,2022-01-15,ORL
Cole Anthony,12,4,8,2,4,3,2022-01-15,ORL
R.J. Hampton,6,3,8,0,2,2,2022-01-15,ORL
Admiral Schofield,0,0,0,0,0,0,2022-01-15,ORL
Mo Bamba,6,3,9,0,4,2,2022-01-15,ORL
Terrence Ross,1,0,1,0,0,0,2022-01-15,ORL
Franz Wagner,6,2,6,0,1,3,2022-01-15,ORL
Jalen Suggs,16,7,11,0,2,2,2022-01-15,ORL
Gary Harris,7,3,8,1,3,1,2022-01-15,ORL
Robin Lopez,16,8,9,0,0,1,2022-01-15,ORL
Moritz Wagner,16,5,6,2,3,2,2022-01-15,ORL
Tobias Harris,22,9,13,3,3,3,2022-01-15,PHI
Seth Curry,21,8,15,5,9,5,2022-01-15,BKN
Joel Embiid,32,12,22,0,3,3,2022-01-15,PHI
Isaiah Joe,0,0,1,0,1,1,2022-01-15,PHI
Tyrese Maxey,13,4,11,1,4,4,2022-01-15,PHI
Charlie Brown Jr.,2,1,4,0,2,2,2022-01-15,PHI
Georges Niang,12,4,8,4,8,2,2022-01-15,PHI
Furkan Korkmaz,6,2,5,0,2,2,2022-01-15,PHI
Andre Drummond,1,0,0,0,0,2,2022-01-15,BKN
Trendon Watford,2,0,2,0,1,0,2022-01-15,POR
Nassir Little,18,6,8,2,3,0,2022-01-15,POR
Anfernee Simons,31,11,21,7,14,11,2022-01-15,POR
Jusuf Nurkic,23,9,15,0,1,2,2022-01-15,POR
Tony Snell,2,1,4,0,3,1,2022-01-15,NOP
Ben McLemore,10,3,9,2,8,1,2022-01-15,POR
Robert Covington,15,5,13,2,6,2,2022-01-15,LAC
Dennis Smith Jr.,9,3,9,0,0,2,2022-01-15,POR
CJ Elleby,5,1,3,0,2,0,2022-01-15,POR
Keljin Blevins,0,0,1,0,1,0,2022-01-15,POR
Doug McDermott,4,1,5,0,3,1,2022-01-15,SAS
Dejounte Murray,18,8,17,0,3,9,2022-01-15,SAS
Lonnie Walker IV,10,4,11,1,5,0,2022-01-15,SAS
Drew Eubanks,0,0,1,0,0,0,2022-01-15,POR
Keldon Johnson,17,4,8,3,6,1,2022-01-15,SAS
Joshua Primo,0,0,2,0,2,0,2022-01-15,SAS
Devin Vassell,10,3,11,2,7,1,2022-01-15,SAS
Jock Landale,10,3,9,1,3,2,2022-01-15,SAS
Keita Bates-Diop,13,4,8,1,3,1,2022-01-15,SAS
Derrick White,19,7,11,3,5,4,2022-01-15,BOS
Darius Bazley,17,5,9,1,4,3,2022-01-15,OKC
Ty Jerome,10,4,6,2,2,0,2022-01-15,OKC
Shai Gilgeous-Alexander,21,7,19,0,2,7,2022-01-15,OKC
Josh Giddey,11,5,8,1,2,3,2022-01-15,OKC
Tre Mann,5,2,7,1,3,2,2022-01-15,OKC
Mamadi Diakite,2,1,2,0,0,0,2022-01-15,OKC
Derrick Favors,6,3,5,0,0,1,2022-01-15,OKC
Mike Muscala,9,3,4,3,4,0,2022-01-15,OKC
