Player_ID,Team_ID,Game_ID,Matchup,Game_day,Result,MINS,PTS,FGM,FGA,FGP,PM3,PA3,P3P,FTM,FTA,FTP,OREB,DREB,REB,AST,TOV,STL,BLK,PF,ID,Name
1629723,1610612763,0022100846,MEM @ CHA,2022-02-12,W,20,8,3,8,37.5,2,5,40.0,0,0,,1,3,4,0,0,1,1,1,1629723,John Konchar
1629634,1610612763,0022100846,MEM @ CHA,2022-02-12,W,32,16,8,12,66.7,0,0,,0,0,,1,5,6,2,2,1,1,3,1629634,Brandon Clarke
1626149,1610612766,0022100846,CHA vs. MEM,2022-02-12,L,29,20,7,8,87.5,0,0,,6,9,66.7,2,7,9,2,0,0,0,3,1626149,Montrezl Harrell
1626145,1610612763,0022100846,MEM @ CHA,2022-02-12,W,19,2,1,5,20.0,0,2,0.0,0,0,,0,2,2,5,0,0,0,0,1626145,Tyus Jones
203937,1610612763,0022100846,MEM @ CHA,2022-02-12,W,17,2,1,2,50.0,0,1,0.0,0,0,,0,7,7,6,2,0,0,3,203937,Kyle Anderson
202397,1610612764,0022100847,WAS vs. SAC,2022-02-12,L,20,9,4,7,57.1,1,1,100.0,0,0,,1,1,2,5,1,3,1,2,202397,Ish Smith
1626158,1610612758,0022100847,SAC @ WAS,2022-02-12,W,17,6,2,3,66.7,0,0,,2,2,100.0,0,0,0,0,2,0,1,3,1626158,Richaun Holmes
1628368,1610612758,0022100847,SAC @ WAS,2022-02-12,W,38,26,10,21,47.6,0,4,0.0,6,7,85.7,0,2,2,4,3,0,0,4,1628368,De'Aaron Fox
1628398,1610612764,0022100847,WAS vs. SAC,2022-02-12,L,35,22,7,14,50.0,2,6,33.3,6,8,75.0,2,6,8,7,2,1,1,1,1628398,Kyle Kuzma
1628978,1610612758,0022100847,SAC @ WAS,2022-02-12,W,19,7,2,9,22.2,1,7,14.3,2,2,100.0,1,1,2,5,0,1,0,1,1628978,Donte DiVincenzo
1629002,1610612758,0022100847,SAC @ WAS,2022-02-12,W,19,10,3,3,100.0,2,2,100.0,2,2,100.0,0,7,7,2,2,0,0,1,1629002,Chimezie Metu
1629060,1610612764,0022100847,WAS vs. SAC,2022-02-12,L,22,13,5,11,45.5,2,3,66.7,1,1,100.0,0,2,2,0,2,3,0,1,1629060,Rui Hachimura
1630166,1610612764,0022100847,WAS vs. SAC,2022-02-12,L,28,10,3,9,33.3,1,5,20.0,3,4,75.0,0,3,3,2,0,1,1,3,1630166,Deni Avdija
1630264,1610612764,0022100847,WAS vs. SAC,2022-02-12,L,19,2,1,3,33.3,0,0,,0,2,0.0,2,1,3,1,1,0,0,5,1630264,Anthony Gill
203200,1610612758,0022100847,SAC @ WAS,2022-02-12,W,30,12,4,8,50.0,4,6,66.7,0,0,,1,1,2,2,0,1,0,1,203200,Justin Holiday
203484,1610612764,0022100847,WAS vs. SAC,2022-02-12,L,29,11,5,9,55.6,1,4,25.0,0,0,,1,3,4,0,0,1,0,2,203484,Kentavious Caldwell-Pope
203526,1610612764,0022100847,WAS vs. SAC,2022-02-12,L,28,10,3,9,33.3,1,5,20.0,3,4,75.0,1,1,2,4,0,0,0,3,203526,Raul Neto
1627734,1610612758,0022100847,SAC @ WAS,2022-02-12,W,34,16,7,9,77.8,0,0,,2,2,100.0,1,10,11,7,2,0,0,4,1627734,Domantas Sabonis
1628418,1610612764,0022100847,WAS vs. SAC,2022-02-12,L,22,13,6,10,60.0,1,3,33.3,0,0,,2,3,5,1,1,2,0,2,1628418,Thomas Bryant
1630176,1610612764,0022100847,WAS vs. SAC,2022-02-12,L,1,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,1630176,Vernon Carey Jr.
1630557,1610612764,0022100847,WAS vs. SAC,2022-02-12,L,36,20,7,16,43.8,4,11,36.4,2,2,100.0,1,2,3,6,2,0,0,0,1630557,Corey Kispert
203090,1610612758,0022100847,SAC @ WAS,2022-02-12,W,30,17,5,5,100.0,3,3,100.0,4,5,80.0,0,8,8,0,1,0,1,2,203090,Maurice Harkless
203084,1610612758,0022100847,SAC @ WAS,2022-02-12,W,33,21,7,9,77.8,0,1,0.0,7,9,77.8,1,4,5,2,1,1,0,3,203084,Harrison Barnes
1630558,1610612758,0022100847,SAC @ WAS,2022-02-12,W,20,8,3,9,33.3,2,5,40.0,0,0,,2,3,5,5,3,1,0,1,1630558,Davion Mitchell
1629637,1610612740,0022100848,NOP vs. SAS,2022-02-12,L,20,4,2,4,50.0,0,1,0.0,0,0,,1,0,1,0,1,0,0,3,1629637,Jaxson Hayes
1629111,1610612759,0022100848,SAS @ NOP,2022-02-12,W,19,10,4,10,40.0,1,4,25.0,1,2,50.0,0,2,2,1,0,0,0,1,1629111,Jock Landale
1629022,1610612759,0022100848,SAS @ NOP,2022-02-12,W,30,17,8,13,61.5,1,5,20.0,0,0,,0,0,0,2,2,0,0,2,1629022,Lonnie Walker IV
203468,1610612740,0022100848,NOP vs. SAS,2022-02-12,L,36,36,15,24,62.5,3,7,42.9,3,3,100.0,3,8,11,5,6,0,0,1,203468,CJ McCollum
202066,1610612740,0022100848,NOP vs. SAS,2022-02-12,L,10,0,0,2,0.0,0,2,0.0,0,0,,0,0,0,0,0,0,1,1,202066,Garrett Temple
1630563,1610612759,0022100848,SAS @ NOP,2022-02-12,W,15,9,2,2,100.0,1,1,100.0,4,4,100.0,1,0,1,1,0,1,0,4,1630563,Joshua Primo
1630529,1610612740,0022100848,NOP vs. SAS,2022-02-12,L,39,13,3,5,60.0,2,3,66.7,5,5,100.0,1,3,4,3,2,2,1,4,1630529,Herbert Jones
1630200,1610612759,0022100848,SAS @ NOP,2022-02-12,W,16,5,2,4,50.0,0,1,0.0,1,2,50.0,1,3,4,3,0,0,0,0,1630200,Tre Jones
1630170,1610612759,0022100848,SAS @ NOP,2022-02-12,W,31,14,5,12,41.7,3,6,50.0,1,1,100.0,0,4,4,4,1,1,1,1,1630170,Devin Vassell
202685,1610612740,0022100848,NOP vs. SAS,2022-02-12,L,32,17,7,11,63.6,1,2,50.0,2,3,66.7,1,11,12,2,1,0,1,2,202685,Jonas Valanciunas
203926,1610612759,0022100848,SAS @ NOP,2022-02-12,W,24,15,4,10,40.0,4,8,50.0,3,3,100.0,0,2,2,0,1,0,0,1,203926,Doug McDermott
1626195,1610612740,0022100848,NOP vs. SAS,2022-02-12,L,12,4,1,4,25.0,0,0,,2,4,50.0,2,4,6,2,0,0,0,2,1626195,Willy Hernangomez
1627742,1610612740,0022100848,NOP vs. SAS,2022-02-12,L,35,22,9,19,47.4,1,5,20.0,3,3,100.0,0,2,2,2,3,0,0,3,1627742,Brandon Ingram
1627749,1610612759,0022100848,SAS @ NOP,2022-02-12,W,35,31,13,22,59.1,2,4,50.0,3,3,100.0,0,7,7,12,1,2,0,0,1627749,Dejounte Murray
1627751,1610612759,0022100848,SAS @ NOP,2022-02-12,W,29,7,3,7,42.9,0,0,,1,2,50.0,5,6,11,2,0,2,4,5,1627751,Jakob Poeltl
1628984,1610612740,0022100848,NOP vs. SAS,2022-02-12,L,21,0,0,6,0.0,0,4,0.0,0,0,,2,0,2,5,0,0,0,3,1628984,Devonte' Graham
1629109,1610612740,0022100848,NOP vs. SAS,2022-02-12,L,8,6,2,3,66.7,2,3,66.7,0,0,,0,2,2,0,0,0,1,0,1629109,Gary Clark
1629640,1610612759,0022100848,SAS @ NOP,2022-02-12,W,32,16,6,13,46.2,2,8,25.0,2,2,100.0,0,2,2,1,0,2,0,3,1629640,Keldon Johnson
1629719,1610612759,0022100848,SAS @ NOP,2022-02-12,W,9,0,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,2,1629719,Devontae Cacok
1630230,1610612740,0022100848,NOP vs. SAS,2022-02-12,L,9,6,2,4,50.0,2,4,50.0,0,0,,0,1,1,0,0,0,0,0,1630230,Naji Marshall
1630631,1610612740,0022100848,NOP vs. SAS,2022-02-12,L,18,6,2,5,40.0,0,1,0.0,2,2,100.0,0,5,5,3,2,0,0,0,1630631,Jose Alvarado
203994,1610612757,0022100845,POR vs. NYK,2022-02-12,W,33,12,5,10,50.0,0,0,,2,2,100.0,4,16,20,6,5,0,0,5,203994,Jusuf Nurkic
203095,1610612752,0022100845,NYK @ POR,2022-02-12,L,36,4,1,13,7.7,1,10,10.0,1,2,50.0,0,3,3,3,3,2,1,1,203095,Evan Fournier
1626159,1610612757,0022100845,POR vs. NYK,2022-02-12,W,37,14,5,10,50.0,1,2,50.0,3,3,100.0,2,3,5,6,1,1,1,3,1626159,Justise Winslow
1630570,1610612757,0022100845,POR vs. NYK,2022-02-12,W,15,4,1,1,100.0,0,0,,2,2,100.0,0,5,5,3,2,0,0,3,1630570,Trendon Watford
1630535,1610612757,0022100845,POR vs. NYK,2022-02-12,W,16,2,1,4,25.0,0,2,0.0,0,0,,1,3,4,1,0,1,0,2,1630535,Greg Brown III
1630193,1610612752,0022100845,NYK @ POR,2022-02-12,L,11,4,1,6,16.7,0,3,0.0,2,2,100.0,0,2,2,0,0,0,0,1,1630193,Immanuel Quickley
202689,1610612752,0022100845,NYK @ POR,2022-02-12,L,26,23,7,12,58.3,4,8,50.0,5,5,100.0,0,1,1,2,0,0,0,0,202689,Kemba Walker
203944,1610612752,0022100845,NYK @ POR,2022-02-12,L,41,28,8,20,40.0,0,4,0.0,12,13,92.3,3,13,16,6,5,0,0,3,203944,Julius Randle
1629011,1610612752,0022100845,NYK @ POR,2022-02-12,L,14,2,1,1,100.0,0,0,,0,0,,0,0,0,0,0,0,3,3,1629011,Mitchell Robinson
1629014,1610612757,0022100845,POR vs. NYK,2022-02-12,W,37,30,11,23,47.8,6,12,50.0,2,3,66.7,2,3,5,8,2,0,0,1,1629014,Anfernee Simons
1629604,1610612757,0022100845,POR vs. NYK,2022-02-12,W,23,5,2,6,33.3,1,4,25.0,0,0,,0,5,5,1,1,0,1,4,1629604,CJ Elleby
1629656,1610612752,0022100845,NYK @ POR,2022-02-12,L,37,20,6,10,60.0,5,8,62.5,3,6,50.0,3,1,4,3,1,2,0,5,1629656,Quentin Grimes
1630579,1610612752,0022100845,NYK @ POR,2022-02-12,L,6,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,1630579,Jericho Sims
201959,1610612752,0022100845,NYK @ POR,2022-02-12,L,27,8,4,6,66.7,0,1,0.0,0,0,,2,5,7,1,1,0,1,6,201959,Taj Gibson
202692,1610612752,0022100845,NYK @ POR,2022-02-12,L,21,8,2,8,25.0,2,3,66.7,2,2,100.0,1,5,6,4,0,1,0,3,202692,Alec Burks
203463,1610612757,0022100845,POR vs. NYK,2022-02-12,W,31,17,6,12,50.0,3,9,33.3,2,2,100.0,0,5,5,2,0,1,0,2,203463,Ben McLemore
1628404,1610612757,0022100845,POR vs. NYK,2022-02-12,W,37,23,7,12,58.3,3,6,50.0,6,8,75.0,0,1,1,2,4,0,0,4,1628404,Josh Hart
1629629,1610612752,0022100845,NYK @ POR,2022-02-12,L,14,6,1,3,33.3,0,1,0.0,4,4,100.0,0,1,1,0,1,1,1,0,1629629,Cam Reddish
1630167,1610612752,0022100845,NYK @ POR,2022-02-12,L,8,0,0,2,0.0,0,1,0.0,0,0,,0,1,1,0,1,0,0,0,1630167,Obi Toppin
1630190,1610612757,0022100845,POR vs. NYK,2022-02-12,W,11,5,2,6,33.3,1,5,20.0,0,0,,0,1,1,0,0,0,0,2,1630190,Elijah Hughes
1629672,1610612762,0022100844,UTA vs. ORL,2022-02-11,W,12,4,1,4,25.0,0,1,0.0,2,2,100.0,1,1,2,1,0,1,0,0,1629672,Eric Paschall
1630235,1610612762,0022100844,UTA vs. ORL,2022-02-11,W,24,9,3,8,37.5,1,2,50.0,2,2,100.0,1,0,1,3,1,3,0,0,1630235,Trent Forrest
1630532,1610612753,0022100844,ORL @ UTA,2022-02-11,L,33,9,3,8,37.5,1,3,33.3,2,2,100.0,0,4,4,3,0,2,1,2,1630532,Franz Wagner
1629643,1610612753,0022100844,ORL @ UTA,2022-02-11,L,19,6,2,5,40.0,2,3,66.7,0,0,,2,5,7,0,3,4,1,1,1629643,Chuma Okeke
1628964,1610612753,0022100844,ORL @ UTA,2022-02-11,L,31,16,6,13,46.2,2,6,33.3,2,2,100.0,4,4,8,2,2,0,2,1,1628964,Mo Bamba
203914,1610612753,0022100844,ORL @ UTA,2022-02-11,L,29,8,3,8,37.5,1,4,25.0,1,1,100.0,1,1,2,1,0,2,0,4,203914,Gary Harris
203903,1610612762,0022100844,UTA vs. ORL,2022-02-11,W,24,18,6,13,46.2,1,6,16.7,5,5,100.0,0,4,4,2,0,2,0,0,203903,Jordan Clarkson
203082,1610612753,0022100844,ORL @ UTA,2022-02-11,L,25,11,4,9,44.4,3,7,42.9,0,0,,0,2,2,3,1,0,0,0,203082,Terrence Ross
202355,1610612762,0022100844,UTA vs. ORL,2022-02-11,W,27,15,7,9,77.8,0,0,,1,2,50.0,5,13,18,1,0,0,2,2,202355,Hassan Whiteside
201144,1610612762,0022100844,UTA vs. ORL,2022-02-11,W,25,8,3,10,30.0,2,6,33.3,0,0,,0,3,3,5,3,0,2,2,201144,Mike Conley
1630591,1610612753,0022100844,ORL @ UTA,2022-02-11,L,25,9,4,11,36.4,0,3,0.0,1,2,50.0,0,1,1,7,1,3,0,3,1630591,Jalen Suggs
1630215,1610612762,0022100844,UTA vs. ORL,2022-02-11,W,3,3,1,2,50.0,1,2,50.0,0,0,,0,1,1,1,0,1,0,0,1630215,Jared Butler
1630175,1610612753,0022100844,ORL @ UTA,2022-02-11,L,37,18,6,12,50.0,3,3,100.0,3,3,100.0,0,6,6,5,7,1,0,3,1630175,Cole Anthony
1629678,1610612753,0022100844,ORL @ UTA,2022-02-11,L,3,0,0,1,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,0,0,1629678,Admiral Schofield
1629649,1610612753,0022100844,ORL @ UTA,2022-02-11,L,3,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,1629649,Ignas Brazdeikis
1629638,1610612762,0022100844,UTA vs. ORL,2022-02-11,W,1,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,1629638,Nickeil Alexander-Walker
1628976,1610612753,0022100844,ORL @ UTA,2022-02-11,L,34,22,9,17,52.9,1,5,20.0,3,6,50.0,2,7,9,2,4,0,1,1,1628976,Wendell Carter Jr.
1628962,1610612762,0022100844,UTA vs. ORL,2022-02-11,W,21,12,6,6,100.0,0,0,,0,0,,1,6,7,0,2,0,1,5,1628962,Udoka Azubuike
1628378,1610612762,0022100844,UTA vs. ORL,2022-02-11,W,35,24,6,19,31.6,3,11,27.3,9,10,90.0,3,4,7,1,4,3,0,3,1628378,Donovan Mitchell
1627823,1610612762,0022100844,UTA vs. ORL,2022-02-11,W,1,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,1627823,Juancho Hernangomez
1626220,1610612762,0022100844,UTA vs. ORL,2022-02-11,W,34,14,5,6,83.3,4,5,80.0,0,0,,0,0,0,5,1,4,0,2,1626220,Royce O'Neale
202711,1610612762,0022100844,UTA vs. ORL,2022-02-11,W,32,7,2,12,16.7,1,8,12.5,2,3,66.7,0,7,7,3,4,1,0,0,202711,Bojan Bogdanovic
1629675,1610612750,0022100843,MIN @ CHI,2022-02-11,L,11,3,1,4,25.0,1,3,33.3,0,0,,0,2,2,0,0,0,0,1,1629675,Naz Reid
1629632,1610612741,0022100843,CHI vs. MIN,2022-02-11,W,29,22,8,12,66.7,6,10,60.0,0,0,,1,5,6,1,3,2,0,3,1629632,Coby White
1629162,1610612750,0022100843,MIN @ CHI,2022-02-11,L,14,4,2,3,66.7,0,0,,0,0,,0,2,2,4,0,1,0,0,1629162,Jordan McLaughlin
1628396,1610612741,0022100843,CHI vs. MIN,2022-02-11,W,13,2,1,1,100.0,0,0,,0,1,0.0,2,2,4,1,0,0,2,0,1628396,Tony Bradley
1627752,1610612750,0022100843,MIN @ CHI,2022-02-11,L,13,3,1,3,33.3,1,2,50.0,0,0,,0,1,1,0,0,0,0,0,1627752,Taurean Prince
1627736,1610612750,0022100843,MIN @ CHI,2022-02-11,L,23,11,4,11,36.4,2,8,25.0,1,1,100.0,1,3,4,1,0,1,1,0,1627736,Malik Beasley
203897,1610612741,0022100843,CHI vs. MIN,2022-02-11,W,37,12,5,14,35.7,1,6,16.7,1,3,33.3,0,4,4,6,4,0,1,2,203897,Zach LaVine
201942,1610612741,0022100843,CHI vs. MIN,2022-02-11,W,38,35,14,22,63.6,0,1,0.0,7,7,100.0,0,6,6,6,0,1,0,1,201942,DeMar DeRozan
201976,1610612750,0022100843,MIN @ CHI,2022-02-11,L,30,10,3,9,33.3,2,6,33.3,2,2,100.0,1,0,1,6,1,1,1,2,201976,Patrick Beverley
202696,1610612741,0022100843,CHI vs. MIN,2022-02-11,W,35,26,11,14,78.6,2,4,50.0,2,2,100.0,0,8,8,7,1,0,0,5,202696,Nikola Vucevic
1626156,1610612750,0022100843,MIN @ CHI,2022-02-11,L,29,18,6,13,46.2,2,6,33.3,4,4,100.0,0,1,1,3,3,1,0,2,1626156,D'Angelo Russell
1626157,1610612750,0022100843,MIN @ CHI,2022-02-11,L,37,27,12,19,63.2,1,3,33.3,2,3,66.7,3,5,8,8,0,2,1,3,1626157,Karl-Anthony Towns
1628972,1610612741,0022100843,CHI vs. MIN,2022-02-11,W,11,0,0,3,0.0,0,2,0.0,0,0,,1,4,5,0,1,0,0,1,1628972,Troy Brown Jr.
1629020,1610612750,0022100843,MIN @ CHI,2022-02-11,L,25,6,3,4,75.0,0,0,,0,0,,1,2,3,1,0,1,0,1,1629020,Jarred Vanderbilt
1629750,1610612741,0022100843,CHI vs. MIN,2022-02-11,W,31,23,10,13,76.9,3,4,75.0,0,0,,1,3,4,1,3,0,0,1,1629750,Javonte Green
