,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
102,103,Gilbert Arenas,WAS,27,2,1,1,31.3,13.0,3.0,11.5,26.1,1.0,3.5,28.6,6.0,8.0,75.0,0.5,4.0,4.5,10.0,0.5,0.0,0.5,2.0,34.4,2,0,1.0
103,104,Shawn Marion,TOR,31,69,34,35,35.8,12.9,5.5,11.4,48.5,0.1,0.8,18.9,1.7,2.1,79.6,2.6,5.9,8.5,2.0,1.5,1.3,1.0,1.9,31.4,22,0,-0.5
104,105,Zydrunas Ilgauskas,CLE,34,65,55,10,27.2,12.9,5.3,11.1,47.2,0.2,0.6,38.5,2.1,2.7,79.9,2.4,5.1,7.5,1.0,1.4,0.4,1.3,2.8,27.2,14,0,7.5
105,106,Jose Calderon,TOR,27,68,28,40,34.3,12.8,4.7,9.5,49.7,1.2,3.0,40.6,2.2,2.3,98.1,0.2,2.6,2.9,8.9,2.1,1.1,0.1,1.7,31.1,22,0,-1.5
106,107,Lou Williams,PHI,22,81,41,40,23.7,12.8,4.1,10.4,39.8,0.8,2.7,28.6,3.8,4.8,79.0,0.4,1.6,2.0,3.0,1.9,1.0,0.2,1.6,21.6,0,0,-0.8
107,108,Travis Outlaw,POR,24,81,54,27,27.7,12.8,4.8,10.5,45.3,1.1,2.9,37.7,2.2,3.0,72.3,0.9,3.2,4.1,1.0,1.2,0.6,0.7,2.1,21.9,2,0,2.0
108,109,Luis Scola,HOU,29,82,53,29,30.3,12.7,5.2,9.7,53.1,0.0,0.0,0.0,2.4,3.1,76.0,2.4,6.3,8.8,1.5,1.5,0.8,0.1,3.2,26.9,28,0,2.6
109,110,Francisco Garcia,SAC,27,65,12,53,30.4,12.7,4.5,10.2,44.4,1.4,3.4,39.8,2.2,2.7,82.0,0.9,2.5,3.4,2.3,1.7,1.2,1.0,3.0,25.2,0,0,-6.6
110,111,Ramon Sessions,MIL,23,79,32,47,27.5,12.4,4.4,9.8,44.5,0.1,0.4,17.6,3.6,4.5,79.4,0.8,2.6,3.4,5.7,1.9,1.1,0.1,2.0,26.5,9,1,-0.3
111,112,Flip Murray,ATL,29,80,46,34,24.7,12.2,4.4,9.9,44.7,1.1,3.0,36.0,2.2,2.9,76.0,0.3,1.8,2.1,2.0,1.6,1.1,0.2,2.2,20.0,0,0,2.5
112,113,Rasheed Wallace,DET,34,66,32,34,32.2,12.0,4.6,10.9,41.9,1.7,4.8,35.4,1.2,1.5,77.2,0.8,6.6,7.4,1.4,0.9,0.9,1.3,3.0,28.9,15,0,1.3
113,114,Chris Kaman,LAC,27,31,6,25,29.7,12.0,5.2,9.8,52.8,0.0,0.0,0.0,1.6,2.4,68.0,2.4,5.5,8.0,1.5,2.7,0.5,1.5,3.0,27.1,9,0,-5.3
114,115,Grant Hill,PHX,36,82,46,36,29.8,12.0,4.8,9.1,52.3,0.3,0.9,31.6,2.2,2.7,80.8,0.8,4.2,4.9,2.3,1.5,1.1,0.7,2.2,25.1,5,0,2.2
115,116,Raja Bell,CHA,32,67,36,31,34.6,11.9,4.5,10.2,43.7,1.7,4.0,42.1,1.3,1.5,85.3,0.6,3.0,3.6,2.1,1.3,0.7,0.1,2.5,20.8,0,0,1.3
116,117,Rajon Rondo,BOS,23,80,62,18,33.0,11.9,4.8,9.5,50.5,0.2,0.6,31.3,2.2,3.4,64.2,1.3,4.0,5.2,8.2,2.6,1.9,0.1,2.4,33.9,15,2,6.4
