,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
102,103,Erick Dampier,DAL,33,10,5,5,25.5,5.7,2.2,3.6,61.1,0.0,0.0,0.0,1.3,2.1,61.9,2.5,3.6,6.1,0.7,1.9,0.4,0.9,4.1,16.1,2,0,1.6
103,104,Joe Smith,CLE,33,13,10,3,16.7,5.5,1.8,3.8,46.0,0.2,0.4,60.0,1.8,2.2,79.3,0.8,2.9,3.7,0.2,0.5,0.5,0.5,1.9,12.8,1,0,3.8
104,105,Kyle Lowry,HOU,23,13,7,6,19.5,5.3,1.6,4.8,33.3,0.3,1.2,25.0,1.8,2.4,74.2,0.6,2.3,2.9,2.5,1.3,0.9,0.1,1.8,14.2,0,0,-1.5
105,106,Daequan Cook,MIA,22,7,3,4,23.0,5.3,1.9,6.0,31.0,1.3,4.3,30.0,0.3,0.3,100.0,0.4,2.0,2.4,0.6,0.9,0.3,0.0,2.6,9.1,0,0,-2.4
106,107,Brian Scalabrine,BOS,31,12,6,6,20.5,5.1,1.8,4.3,42.3,1.1,2.4,44.8,0.3,0.3,100.0,0.6,1.6,2.2,1.0,0.4,0.2,0.4,3.6,10.5,0,0,-0.4
107,108,Greg Oden,POR,21,6,2,4,16.0,5.0,1.8,3.5,52.4,0.0,0.0,0.0,1.3,2.0,66.7,1.8,2.5,4.3,0.0,1.3,0.3,0.8,4.5,12.4,0,0,1.5
108,108,Leon Powe,BOS,25,2,1,1,12.2,5.0,1.5,3.5,42.9,0.0,0.0,0.0,2.0,3.0,66.7,0.5,4.0,4.5,0.0,0.5,0.0,0.0,1.5,9.9,0,0,-8.0
109,108,Marvin Williams,ATL,23,6,1,5,16.2,5.0,1.7,4.8,34.5,0.2,1.0,16.7,1.5,2.2,69.2,0.5,1.0,1.5,1.0,1.0,0.8,0.3,1.3,10.8,0,0,-2.7
110,108,Tyronn Lue,ORL,32,1,1,0,3.9,5.0,2.0,2.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0,0,-1.0
111,112,Shannon Brown,LAL,23,21,15,6,13.1,4.9,1.7,4.0,43.4,0.6,1.2,48.0,0.9,1.1,79.2,0.4,0.8,1.2,0.6,0.5,0.5,0.1,1.3,8.5,0,0,2.2
