Name,POS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,PER,Team
Karl-Anthony Towns,C,7.8,14.3,54.5,1.5,3.5,42.1,4.2,4.9,85.8,6.3,10.8,58.5,1.4869999999999999,0.6,82,82.0,35.6,21.3,2.9,9.4,12.3,2.4,0.8,1.4,1.9,3.5,1.3,24.99,MIN
Andrew Wiggins,SF,6.9,15.9,43.8,1.4,4.1,33.1,2.5,3.8,64.3,5.6,11.7,47.5,1.117,0.48,82,82.0,36.3,17.7,1.0,3.4,4.4,2.0,1.1,0.6,1.7,2.0,1.2,13.1,MIN
Jeff Teague,PG,5.1,11.3,44.6,1.2,3.3,36.8,2.9,3.4,84.5,3.9,8.1,47.7,1.252,0.5,70,70.0,33.0,14.2,0.3,2.6,3.0,7.0,1.5,0.3,2.5,2.4,2.8,16.44,MIN
Taj Gibson,C,5.2,9.0,57.7,0.1,0.4,20.0,1.7,2.3,76.8,5.1,8.6,59.5,1.355,0.58,82,82.0,33.3,12.2,2.4,4.8,7.1,1.2,0.8,0.7,1.1,2.7,1.1,15.45,MIN
Jamal Crawford,G,3.9,9.3,41.5,1.3,3.9,33.1,1.3,1.4,90.3,2.6,5.4,47.7,1.1079999999999999,0.49,80,0.0,20.7,10.3,0.3,1.0,1.2,2.3,0.5,0.1,1.2,1.1,1.9,13.06,MIN
Nemanja Bjelica,PF,2.6,5.5,46.1,1.1,2.7,41.5,0.5,0.7,80.0,1.4,2.8,50.5,1.224,0.56,67,21.0,20.5,6.8,0.8,3.3,4.1,1.3,0.7,0.2,0.8,2.1,1.7,12.62,MIN
Gorgui Dieng,C,2.4,4.9,47.9,0.2,0.8,31.1,1.0,1.3,77.5,2.1,4.1,51.1,1.2109999999999999,0.5,79,0.0,16.9,5.9,1.3,3.2,4.6,0.9,0.6,0.5,0.7,1.9,1.2,14.69,MIN
Derrick Rose,PG,2.6,6.0,42.6,0.1,0.7,16.7,0.6,0.6,100.0,2.4,5.3,45.8,0.963,0.44,9,0.0,12.4,5.8,0.3,0.3,0.7,1.2,0.4,0.0,0.8,0.2,1.6,11.28,MIN
Tyus Jones,PG,1.8,4.0,45.7,0.5,1.6,34.9,0.9,1.0,87.7,1.3,2.4,52.8,1.268,0.53,82,11.0,17.9,5.1,0.2,1.4,1.6,2.8,1.2,0.1,0.7,1.3,3.9,14.1,MIN
Shabazz Muhammad,F,1.5,3.8,38.8,0.1,0.6,21.1,0.7,1.0,71.0,1.3,3.2,42.2,0.992,0.4,32,2.0,9.4,3.8,0.5,0.9,1.4,0.2,0.2,0.1,0.2,0.7,1.4,9.37,MIN
Anthony Brown,F,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,1,0.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,inf,41.91,MIN
Aaron Brooks,G,0.9,2.2,40.6,0.3,1.0,35.5,0.3,0.3,72.7,0.5,1.2,44.7,1.087,0.49,32,1.0,5.9,2.3,0.2,0.3,0.5,0.6,0.2,0.0,0.3,0.9,1.8,9.85,MIN
Justin Patton,C,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,1.0,0.5,1,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,19.88,MIN
Marcus Georges-Hunt,F,0.5,1.1,43.8,0.1,0.4,26.7,0.3,0.5,61.9,0.4,0.8,51.5,1.229,0.48,42,0.0,5.3,1.4,0.2,0.2,0.4,0.2,0.1,0.0,0.1,0.8,2.3,6.88,MIN
Cole Aldrich,C,0.2,0.7,33.3,0.0,0.0,0.0,0.1,0.3,33.3,0.2,0.7,33.3,0.8,0.33,21,0.0,2.3,0.6,0.1,0.6,0.7,0.1,0.1,0.0,0.0,0.5,3.0,6.05,MIN
Russell Westbrook,PG,9.5,21.1,44.9,1.2,4.1,29.8,5.2,7.1,73.7,8.3,17.0,48.5,1.202,0.48,80,80.0,36.4,25.4,1.9,8.2,10.1,10.3,1.8,0.3,4.8,2.5,2.2,24.8,OKC
Paul George,SG,7.3,17.0,43.0,3.1,7.7,40.1,4.3,5.2,82.2,4.2,9.3,45.4,1.294,0.52,79,79.0,36.6,21.9,0.9,4.7,5.7,3.3,2.0,0.5,2.7,2.9,1.2,18.71,OKC
Carmelo Anthony,PF,6.1,15.0,40.4,2.2,6.1,35.7,1.9,2.5,76.7,3.9,8.9,43.7,1.08,0.48,78,78.0,32.1,16.2,0.9,4.9,5.8,1.3,0.6,0.6,1.3,2.5,1.0,12.78,OKC
Steven Adams,C,5.9,9.4,62.9,0.0,0.0,0.0,2.1,3.8,55.9,5.9,9.3,63.1,1.483,0.63,76,76.0,32.7,13.9,5.1,4.0,9.0,1.2,1.2,1.0,1.7,2.8,0.7,20.69,OKC
Corey Brewer,F,3.6,8.0,44.4,1.3,3.7,34.3,1.7,2.2,79.5,2.3,4.3,53.2,1.264,0.52,18,16.0,28.6,10.1,1.1,2.3,3.4,1.3,2.1,0.3,0.6,3.1,2.2,14.25,OKC
