,Name,PTS,FGM,FGA,PM3,PA3,AST,Team,Division,Conference,eFG,PM2
2689,Tomas Satoransky,3,1,4,1,3,5,NOP,southwest,west,37.5,0
2690,Gary Clark,12,4,11,4,10,1,NOP,southwest,west,54.54545454545455,0
2691,Jared Harper,7,3,6,1,2,3,NOP,southwest,west,58.333333333333336,2
2692,Jaxson Hayes,7,2,4,0,0,2,NOP,southwest,west,50.0,2
2693,Trey Murphy III,3,1,4,1,3,0,NOP,southwest,west,37.5,0
2694,Devonte' Graham,18,5,12,1,6,5,NOP,southwest,west,45.833333333333336,4
2695,Herbert Jones,26,10,18,2,4,3,NOP,southwest,west,61.111111111111114,8
2696,Garrett Temple,17,6,7,5,6,3,NOP,southwest,west,121.42857142857143,1
2697,Jonas Valanciunas,15,4,11,1,2,2,NOP,southwest,west,40.90909090909091,3
2698,Willy Hernangomez,0,0,3,0,0,0,NOP,southwest,west,0.0,0
2699,Willy Hernangomez,14,4,8,0,0,2,NOP,southwest,west,50.0,4
2700,Brandon Ingram,0,0,3,0,2,2,NOP,southwest,west,0.0,0
2701,Gary Clark,0,0,2,0,2,1,NOP,southwest,west,0.0,0
2702,Jaxson Hayes,15,5,9,0,1,1,NOP,southwest,west,55.55555555555556,5
2703,Tomas Satoransky,2,1,6,0,2,4,NOP,southwest,west,16.666666666666668,1
2704,Trey Murphy III,0,0,6,0,6,2,NOP,southwest,west,0.0,0
2705,Devonte' Graham,15,5,13,3,8,8,NOP,southwest,west,50.0,2
2706,Josh Hart,29,10,17,3,7,4,NOP,southwest,west,67.6470588235294,7
2707,Garrett Temple,22,9,17,2,8,1,NOP,southwest,west,58.8235294117647,7
2708,Jared Harper,0,0,1,0,0,0,NOP,southwest,west,0.0,0
2709,Herbert Jones,15,5,12,2,5,1,NOP,southwest,west,50.0,3
2710,Devonte' Graham,20,5,17,5,14,6,NOP,southwest,west,44.11764705882353,0
2711,Josh Hart,22,7,10,4,5,5,NOP,southwest,west,90.0,3
2712,Tomas Satoransky,9,3,6,1,2,3,NOP,southwest,west,58.333333333333336,2
2713,Garrett Temple,8,3,6,2,4,1,NOP,southwest,west,66.66666666666667,1
2714,Trey Murphy III,6,2,6,1,4,1,NOP,southwest,west,41.666666666666664,1
2715,Herbert Jones,8,3,6,0,0,1,NOP,southwest,west,50.0,3
2716,Gary Clark,1,0,0,0,0,0,NOP,southwest,west,,0
2717,Brandon Ingram,31,12,23,0,1,4,NOP,southwest,west,52.17391304347826,12
2718,Willy Hernangomez,3,1,11,0,0,0,NOP,southwest,west,9.090909090909092,1
2719,Jaxson Hayes,2,1,1,0,0,0,NOP,southwest,west,100.0,1
2720,Willy Hernangomez,13,5,6,0,1,2,NOP,southwest,west,83.33333333333333,5
2721,Tomas Satoransky,0,0,3,0,0,1,NOP,southwest,west,0.0,0
2722,Josh Hart,20,7,10,1,4,5,NOP,southwest,west,75.0,6
2723,Brandon Ingram,28,12,22,2,7,8,NOP,southwest,west,59.09090909090909,10
2724,Garrett Temple,0,0,3,0,2,1,NOP,southwest,west,0.0,0
2725,Nickeil Alexander-Walker,27,10,16,6,9,4,NOP,southwest,west,81.25,4
2726,Herbert Jones,3,1,2,1,2,0,NOP,southwest,west,75.0,0
2727,Jonas Valanciunas,10,4,10,0,2,1,NOP,southwest,west,40.0,4
2728,Trey Murphy III,0,0,1,0,0,0,NOP,southwest,west,0.0,0
2729,Devonte' Graham,10,3,7,2,6,5,NOP,southwest,west,57.142857142857146,1
2730,Herbert Jones,17,6,9,0,0,4,NOP,southwest,west,66.66666666666667,6
2731,Josh Hart,11,5,10,0,2,8,NOP,southwest,west,50.0,5
2732,Trey Murphy III,0,0,1,0,1,2,NOP,southwest,west,0.0,0
2733,Devonte' Graham,26,8,12,8,12,4,NOP,southwest,west,100.0,0
2734,Nickeil Alexander-Walker,12,5,17,2,10,4,NOP,southwest,west,35.294117647058826,3
2735,Tomas Satoransky,2,1,4,0,1,2,NOP,southwest,west,25.0,1
2736,Garrett Temple,0,0,3,0,3,2,NOP,southwest,west,0.0,0
2737,Jonas Valanciunas,24,11,15,0,0,3,NOP,southwest,west,73.33333333333333,11
2738,Willy Hernangomez,2,0,2,0,0,0,NOP,southwest,west,0.0,0
2739,Brandon Ingram,22,6,16,3,8,5,NOP,southwest,west,46.875,3
2740,Herbert Jones,8,3,7,0,3,2,NOP,southwest,west,42.857142857142854,3
2741,Brandon Ingram,34,11,21,1,2,4,NOP,southwest,west,54.76190476190476,10
2742,Willy Hernangomez,7,3,4,0,0,0,NOP,southwest,west,75.0,3
2743,Trey Murphy III,1,0,1,0,1,1,NOP,southwest,west,0.0,0
2744,Tomas Satoransky,2,0,3,0,2,1,NOP,southwest,west,0.0,0
2745,Garrett Temple,8,3,3,2,2,0,NOP,southwest,west,133.33333333333334,1
2746,Jonas Valanciunas,19,8,10,1,1,0,NOP,southwest,west,85.0,7
2747,Josh Hart,11,3,7,1,3,5,NOP,southwest,west,50.0,2
2748,Devonte' Graham,15,5,14,5,10,8,NOP,southwest,west,53.57142857142857,0
2749,Nickeil Alexander-Walker,8,3,10,1,4,2,NOP,southwest,west,35.0,2
2750,Herbert Jones,2,1,4,0,1,1,NOP,southwest,west,25.0,1
2751,Garrett Temple,3,1,4,1,4,0,NOP,southwest,west,37.5,0
2752,Willy Hernangomez,10,4,5,0,0,1,NOP,southwest,west,80.0,4
2753,Josh Hart,13,6,8,1,2,4,NOP,southwest,west,81.25,5
2754,Devonte' Graham,8,3,11,2,6,2,NOP,southwest,west,36.36363636363637,1
2755,Nickeil Alexander-Walker,15,6,16,3,6,0,NOP,southwest,west,46.875,3
2756,Jonas Valanciunas,17,7,15,1,3,4,NOP,southwest,west,50.0,6
2757,Trey Murphy III,2,1,3,0,2,0,NOP,southwest,west,33.333333333333336,1
2758,Tomas Satoransky,0,0,3,0,1,3,NOP,southwest,west,0.0,0
2759,Brandon Ingram,27,11,25,0,4,9,NOP,southwest,west,44.0,11
2760,Josh Hart,14,5,5,0,0,5,NOP,southwest,west,100.0,5
2761,Gary Clark,0,0,0,0,0,0,NOP,southwest,west,,0
2762,Trey Murphy III,0,0,1,0,1,0,NOP,southwest,west,0.0,0
2763,Garrett Temple,9,3,6,3,4,1,NOP,southwest,west,75.0,0
2764,Jonas Valanciunas,17,7,12,0,0,3,NOP,southwest,west,58.333333333333336,7
2765,Tomas Satoransky,4,2,6,0,4,3,NOP,southwest,west,33.333333333333336,2
2766,Brandon Ingram,26,9,19,4,8,5,NOP,southwest,west,57.89473684210526,5
2767,Nickeil Alexander-Walker,14,6,18,2,8,4,NOP,southwest,west,38.888888888888886,4
2768,Herbert Jones,10,3,9,1,3,4,NOP,southwest,west,38.888888888888886,2
2769,Naji Marshall,0,0,2,0,1,0,NOP,southwest,west,0.0,0
2770,Jaxson Hayes,0,0,2,0,0,0,NOP,southwest,west,0.0,0
2771,Devonte' Graham,9,3,10,3,8,4,NOP,southwest,west,45.0,0
2772,Jose Alvarado,0,0,0,0,0,0,NOP,southwest,west,,0
2773,Willy Hernangomez,6,3,5,0,0,0,NOP,southwest,west,60.0,3
2774,Tomas Satoransky,2,1,1,0,0,0,NOP,southwest,west,100.0,1
2775,Willy Hernangomez,6,3,3,0,0,1,NOP,southwest,west,100.0,3
2776,Kira Lewis Jr.,5,2,4,0,1,3,NOP,southwest,west,50.0,2
2777,Jonas Valanciunas,27,12,21,1,2,3,NOP,southwest,west,59.523809523809526,11
2778,Brandon Ingram,16,6,12,1,4,5,NOP,southwest,west,54.166666666666664,5
2779,Josh Hart,12,5,11,1,3,8,NOP,southwest,west,50.0,4
2780,Devonte' Graham,12,4,13,4,12,5,NOP,southwest,west,46.15384615384615,0
2781,Herbert Jones,19,8,11,2,2,3,NOP,southwest,west,81.81818181818181,6
2782,Nickeil Alexander-Walker,15,6,10,2,3,2,NOP,southwest,west,70.0,4
2783,Garrett Temple,0,0,4,0,3,2,NOP,southwest,west,0.0,0
2784,Tomas Satoransky,4,1,1,0,0,0,NOP,southwest,west,100.0,1
2785,Brandon Ingram,40,15,28,3,10,4,NOP,southwest,west,58.92857142857143,12
2786,Nickeil Alexander-Walker,10,3,13,3,8,5,NOP,southwest,west,34.61538461538461,0
2787,Kira Lewis Jr.,8,3,5,0,1,2,NOP,southwest,west,60.0,3
2788,Willy Hernangomez,10,4,7,0,0,1,NOP,southwest,west,57.142857142857146,4
2789,Garrett Temple,5,2,6,1,3,0,NOP,southwest,west,41.666666666666664,1
2790,Jonas Valanciunas,17,7,11,0,1,3,NOP,southwest,west,63.63636363636363,7
2791,Herbert Jones,5,2,4,0,0,0,NOP,southwest,west,50.0,2
2792,Devonte' Graham,9,3,13,3,11,4,NOP,southwest,west,34.61538461538461,0
2793,Trey Murphy III,0,0,6,0,4,0,NOP,southwest,west,0.0,0
2794,Jonas Valanciunas,14,5,7,0,2,3,NOP,southwest,west,71.42857142857143,5
2795,Naji Marshall,0,0,0,0,0,1,NOP,southwest,west,,0
2796,Garrett Temple,5,1,5,1,4,3,NOP,southwest,west,30.0,0
2797,Brandon Ingram,24,7,20,1,4,12,NOP,southwest,west,37.5,6
2798,Willy Hernangomez,12,4,11,0,0,3,NOP,southwest,west,36.36363636363637,4
2799,Devonte' Graham,13,5,11,3,8,0,NOP,southwest,west,59.09090909090909,2
2800,Herbert Jones,13,5,11,2,3,4,NOP,southwest,west,54.54545454545455,3
2801,Trey Murphy III,9,3,4,3,3,0,NOP,southwest,west,112.5,0
2802,Nickeil Alexander-Walker,9,4,11,1,2,2,NOP,southwest,west,40.90909090909091,3
2803,Tomas Satoransky,3,1,4,0,0,1,NOP,southwest,west,25.0,1
2804,Kira Lewis Jr.,5,2,6,1,4,1,NOP,southwest,west,41.666666666666664,1
2805,Herbert Jones,3,1,8,0,1,1,NOP,southwest,west,12.5,1
2806,Nickeil Alexander-Walker,12,5,13,2,8,4,NOP,southwest,west,46.15384615384615,3
2807,Devonte' Graham,13,5,12,3,7,6,NOP,southwest,west,54.166666666666664,2
2808,Tomas Satoransky,6,2,4,1,2,1,NOP,southwest,west,62.5,1
2809,Jose Alvarado,7,2,4,1,1,1,NOP,southwest,west,62.5,1
2810,Trey Murphy III,5,2,3,1,2,2,NOP,southwest,west,83.33333333333333,1
2811,Naji Marshall,2,0,2,0,1,0,NOP,southwest,west,0.0,0
2812,Kira Lewis Jr.,11,5,6,1,2,1,NOP,southwest,west,91.66666666666667,4
2813,Jaxson Hayes,2,1,2,0,1,0,NOP,southwest,west,50.0,1
2814,Brandon Ingram,29,11,17,3,5,3,NOP,southwest,west,73.52941176470588,8
2815,Willy Hernangomez,4,2,4,0,0,2,NOP,southwest,west,50.0,2
2816,Jonas Valanciunas,6,1,8,0,4,1,NOP,southwest,west,12.5,1
2817,Garrett Temple,7,3,6,1,3,0,NOP,southwest,west,58.333333333333336,2
2818,Nickeil Alexander-Walker,7,3,11,1,6,2,NOP,southwest,west,31.818181818181817,2
2819,Devonte' Graham,8,3,8,2,7,3,NOP,southwest,west,50.0,1
2820,Josh Hart,4,1,9,0,5,9,NOP,southwest,west,11.11111111111111,1
2821,Jonas Valanciunas,39,15,24,7,8,3,NOP,southwest,west,77.08333333333333,8
2822,Garrett Temple,6,2,4,2,4,0,NOP,southwest,west,75.0,0
2823,Trey Murphy III,5,2,2,1,1,0,NOP,southwest,west,125.0,1
2824,Herbert Jones,16,6,10,0,1,1,NOP,southwest,west,60.0,6
2825,Naji Marshall,0,0,0,0,0,2,NOP,southwest,west,,0
2826,Kira Lewis Jr.,2,0,2,0,1,3,NOP,southwest,west,0.0,0
2827,Brandon Ingram,27,12,18,1,2,4,NOP,southwest,west,69.44444444444444,11
2828,Willy Hernangomez,9,4,6,0,0,0,NOP,southwest,west,66.66666666666667,4
2829,Tomas Satoransky,0,0,0,0,0,3,NOP,southwest,west,,0
2830,Herbert Jones,3,1,4,0,1,2,NOP,southwest,west,25.0,1
2831,Tomas Satoransky,6,3,6,0,0,3,NOP,southwest,west,50.0,3
2832,Jonas Valanciunas,12,6,11,0,4,2,NOP,southwest,west,54.54545454545455,6
2833,Josh Hart,6,3,6,0,2,2,NOP,southwest,west,50.0,3
2834,Devonte' Graham,6,2,9,0,5,2,NOP,southwest,west,22.22222222222222,2
2835,Kira Lewis Jr.,4,2,5,0,2,1,NOP,southwest,west,40.0,2
2836,Naji Marshall,10,3,5,1,1,0,NOP,southwest,west,70.0,2
2837,Jose Alvarado,0,0,0,0,0,5,NOP,southwest,west,,0
2838,Garrett Temple,6,2,4,0,1,0,NOP,southwest,west,50.0,2
2839,Willy Hernangomez,10,5,7,0,0,3,NOP,southwest,west,71.42857142857143,5
2840,Nickeil Alexander-Walker,10,2,12,2,8,3,NOP,southwest,west,25.0,0
2841,Trey Murphy III,6,2,4,2,4,0,NOP,southwest,west,75.0,0
2842,Brandon Ingram,11,4,14,0,4,3,NOP,southwest,west,28.571428571428573,4
2843,Jaxson Hayes,15,5,6,3,3,1,NOP,southwest,west,108.33333333333333,2
2844,Jonas Valanciunas,11,5,10,0,3,1,NOP,southwest,west,50.0,5
2845,Josh Hart,8,2,6,0,0,5,NOP,southwest,west,33.333333333333336,2
2846,Devonte' Graham,9,3,10,3,7,4,NOP,southwest,west,45.0,0
2847,Kira Lewis Jr.,10,3,3,2,2,1,NOP,southwest,west,133.33333333333334,1
2848,Herbert Jones,8,4,9,0,0,2,NOP,southwest,west,44.44444444444444,4
2849,Garrett Temple,3,1,3,1,2,1,NOP,southwest,west,50.0,0
2850,Willy Hernangomez,13,6,9,1,1,5,NOP,southwest,west,72.22222222222223,5
2851,Brandon Ingram,21,8,22,1,4,5,NOP,southwest,west,38.63636363636363,7
2852,Nickeil Alexander-Walker,15,6,17,3,8,1,NOP,southwest,west,44.11764705882353,3
2853,Tomas Satoransky,0,0,0,0,0,2,NOP,southwest,west,,0
2854,Garrett Temple,4,1,3,1,3,0,NOP,southwest,west,50.0,0
2855,Jonas Valanciunas,21,7,18,1,4,4,NOP,southwest,west,41.666666666666664,6
2856,Devonte' Graham,12,4,11,2,6,1,NOP,southwest,west,45.45454545454545,2
2857,Jose Alvarado,0,0,0,0,0,2,NOP,southwest,west,,0
2858,Kira Lewis Jr.,2,1,5,0,2,1,NOP,southwest,west,20.0,1
2859,Trey Murphy III,8,3,3,2,2,0,NOP,southwest,west,133.33333333333334,1
2860,Tomas Satoransky,4,1,4,0,1,5,NOP,southwest,west,25.0,1
2861,Willy Hernangomez,13,4,8,1,1,4,NOP,southwest,west,56.25,3
2862,Josh Hart,16,5,8,1,2,4,NOP,southwest,west,68.75,4
2863,Nickeil Alexander-Walker,12,5,11,2,2,5,NOP,southwest,west,54.54545454545455,3
2864,Naji Marshall,5,2,7,1,3,1,NOP,southwest,west,35.714285714285715,1
2865,Herbert Jones,4,2,3,0,0,3,NOP,southwest,west,66.66666666666667,2
2866,Brandon Ingram,26,9,15,1,3,3,NOP,southwest,west,63.333333333333336,8
2867,Tomas Satoransky,2,1,3,0,1,0,NOP,southwest,west,33.333333333333336,1
2868,Brandon Ingram,9,2,13,1,7,4,NOP,southwest,west,19.23076923076923,1
2869,Josh Hart,13,5,9,0,3,5,NOP,southwest,west,55.55555555555556,5
2870,Naji Marshall,2,1,2,0,0,1,NOP,southwest,west,50.0,1
2871,Trey Murphy III,0,0,0,0,0,0,NOP,southwest,west,,0
2872,Jose Alvarado,0,0,1,0,1,0,NOP,southwest,west,0.0,0
2873,Willy Hernangomez,19,8,9,0,0,0,NOP,southwest,west,88.88888888888889,8
2874,Nickeil Alexander-Walker,14,5,11,2,6,3,NOP,southwest,west,54.54545454545455,3
2875,Kira Lewis Jr.,10,4,12,1,7,6,NOP,southwest,west,37.5,3
2876,Jonas Valanciunas,13,5,12,0,0,1,NOP,southwest,west,41.666666666666664,5
2877,Herbert Jones,6,3,8,0,1,3,NOP,southwest,west,37.5,3
2878,Garrett Temple,8,3,8,2,6,1,NOP,southwest,west,50.0,1
2879,Jonas Valanciunas,19,8,15,1,1,2,NOP,southwest,west,56.666666666666664,7
2880,Willy Hernangomez,6,3,4,0,0,1,NOP,southwest,west,75.0,3
2881,Brandon Ingram,12,4,14,1,2,4,NOP,southwest,west,32.142857142857146,3
2882,Nickeil Alexander-Walker,6,2,9,0,2,4,NOP,southwest,west,22.22222222222222,2
2883,Herbert Jones,2,1,4,0,0,2,NOP,southwest,west,25.0,1
2884,Jaxson Hayes,4,2,7,0,0,0,NOP,southwest,west,28.571428571428573,2
2885,Naji Marshall,14,3,8,0,3,3,NOP,southwest,west,37.5,3
2886,Trey Murphy III,8,2,2,2,2,1,NOP,southwest,west,150.0,0
2887,Garrett Temple,0,0,0,0,0,0,NOP,southwest,west,,0
2888,Tomas Satoransky,2,1,3,0,1,0,NOP,southwest,west,33.333333333333336,1
2889,Kira Lewis Jr.,12,5,11,1,4,0,NOP,southwest,west,50.0,4
2890,Josh Hart,7,3,7,1,2,0,NOP,southwest,west,50.0,2
2891,Jose Alvarado,2,1,4,0,1,0,NOP,southwest,west,25.0,1
2892,Garrett Temple,0,0,4,0,3,1,NOP,southwest,west,0.0,0
2893,Tomas Satoransky,4,2,5,0,0,2,NOP,southwest,west,40.0,2
2894,Brandon Ingram,17,6,17,3,5,5,NOP,southwest,west,44.11764705882353,3
2895,Jaxson Hayes,4,1,2,0,1,0,NOP,southwest,west,50.0,1
2896,Nickeil Alexander-Walker,8,3,10,2,6,0,NOP,southwest,west,40.0,1
2897,Kira Lewis Jr.,16,7,12,2,3,4,NOP,southwest,west,66.66666666666667,5
2898,Herbert Jones,0,0,3,0,1,1,NOP,southwest,west,0.0,0
2899,Trey Murphy III,0,0,0,0,0,0,NOP,southwest,west,,0
2900,Jonas Valanciunas,26,10,19,5,9,2,NOP,southwest,west,65.78947368421052,5
2901,Josh Hart,19,9,15,1,2,4,NOP,southwest,west,63.333333333333336,8
2902,Devonte' Graham,11,4,9,3,7,4,NOP,southwest,west,61.111111111111114,1
2903,Jaxson Hayes,4,1,2,0,0,0,NOP,southwest,west,50.0,1
2904,Herbert Jones,4,2,2,0,0,1,NOP,southwest,west,100.0,2
2905,Garrett Temple,2,1,3,0,1,1,NOP,southwest,west,33.333333333333336,1
2906,Jonas Valanciunas,13,5,9,0,2,0,NOP,southwest,west,55.55555555555556,5
2907,Tomas Satoransky,3,1,4,0,2,1,NOP,southwest,west,25.0,1
2908,Brandon Ingram,19,6,14,1,6,5,NOP,southwest,west,46.42857142857143,5
2909,Josh Hart,18,5,8,2,4,4,NOP,southwest,west,75.0,3
2910,Nickeil Alexander-Walker,24,8,18,4,8,2,NOP,southwest,west,55.55555555555556,4
2911,Trey Murphy III,0,0,6,0,5,0,NOP,southwest,west,0.0,0
2912,Devonte' Graham,14,4,9,4,7,2,NOP,southwest,west,66.66666666666667,0
2913,Jaxson Hayes,7,2,5,0,0,0,NOP,southwest,west,40.0,2
2914,Herbert Jones,4,1,2,0,0,0,NOP,southwest,west,50.0,1
2915,Garrett Temple,8,3,3,2,2,0,NOP,southwest,west,133.33333333333334,1
2916,Jonas Valanciunas,16,6,12,1,1,3,NOP,southwest,west,54.166666666666664,5
2917,Nickeil Alexander-Walker,4,1,6,0,3,4,NOP,southwest,west,16.666666666666668,1
2918,Josh Hart,13,3,13,1,3,5,NOP,southwest,west,26.923076923076923,2
2919,Brandon Ingram,31,9,23,2,4,4,NOP,southwest,west,43.47826086956522,7
2920,Tomas Satoransky,0,0,0,0,0,2,NOP,southwest,west,,0
2921,Trey Murphy III,3,1,1,1,1,0,NOP,southwest,west,150.0,0
2922,Brandon Ingram,19,7,17,1,4,4,NOP,southwest,west,44.11764705882353,6
2923,Devonte' Graham,15,6,13,0,4,4,NOP,southwest,west,46.15384615384615,6
2924,Jaxson Hayes,3,1,2,0,0,1,NOP,southwest,west,50.0,1
2925,Trey Murphy III,8,2,3,2,3,0,NOP,southwest,west,100.0,0
2926,Herbert Jones,17,5,10,3,4,0,NOP,southwest,west,65.0,2
2927,Garrett Temple,4,1,3,1,2,0,NOP,southwest,west,50.0,0
2928,Tomas Satoransky,5,1,5,1,2,5,NOP,southwest,west,30.0,0
2929,Josh Hart,5,2,5,1,1,11,NOP,southwest,west,50.0,1
2930,Nickeil Alexander-Walker,21,7,14,2,6,1,NOP,southwest,west,57.142857142857146,5
2931,Jonas Valanciunas,15,6,7,3,3,3,NOP,southwest,west,107.14285714285714,3
2932,Garrett Temple,17,6,13,4,8,2,NOP,southwest,west,61.53846153846154,2
2933,Jonas Valanciunas,20,6,14,0,1,3,NOP,southwest,west,42.857142857142854,6
2934,Kira Lewis Jr.,2,1,1,0,0,1,NOP,southwest,west,100.0,1
2935,Herbert Jones,11,5,8,1,3,1,NOP,southwest,west,68.75,4
2936,Tomas Satoransky,2,1,3,0,0,6,NOP,southwest,west,33.333333333333336,1
2937,Jaxson Hayes,9,4,5,0,0,1,NOP,southwest,west,80.0,4
2938,Nickeil Alexander-Walker,16,6,12,3,6,0,NOP,southwest,west,62.5,3
2939,Trey Murphy III,8,3,8,1,4,1,NOP,southwest,west,43.75,2
2940,Devonte' Graham,14,5,11,3,7,6,NOP,southwest,west,59.09090909090909,2
2941,Josh Hart,13,6,13,1,3,5,NOP,southwest,west,50.0,5
2942,Jonas Valanciunas,25,9,20,1,3,2,NOP,southwest,west,47.5,8
2943,Nickeil Alexander-Walker,33,10,22,4,10,4,NOP,southwest,west,54.54545454545455,6
2944,Devonte' Graham,18,7,18,3,9,4,NOP,southwest,west,47.22222222222222,4
2945,Garrett Temple,3,0,5,0,1,5,NOP,southwest,west,0.0,0
2946,Tomas Satoransky,1,0,3,0,3,2,NOP,southwest,west,0.0,0
2947,Josh Hart,4,2,5,0,1,1,NOP,southwest,west,40.0,2
2948,Jaxson Hayes,5,2,2,0,0,0,NOP,southwest,west,100.0,2
2949,Kira Lewis Jr.,2,1,7,0,3,2,NOP,southwest,west,14.285714285714286,1
2950,Herbert Jones,4,1,7,0,1,4,NOP,southwest,west,14.285714285714286,1
2951,Trey Murphy III,5,2,8,1,4,0,NOP,southwest,west,31.25,1
2952,Naji Marshall,0,0,5,0,2,0,NOP,southwest,west,0.0,0
2953,Josh Hart,22,8,13,1,2,5,NOP,southwest,west,65.38461538461539,7
2954,Devonte' Graham,8,2,8,2,7,10,NOP,southwest,west,37.5,0
2955,Jonas Valanciunas,22,10,16,2,3,3,NOP,southwest,west,68.75,8
2956,Garrett Temple,12,5,9,2,4,3,NOP,southwest,west,66.66666666666667,3
2957,Jaxson Hayes,10,4,7,0,0,0,NOP,southwest,west,57.142857142857146,4
2958,Nickeil Alexander-Walker,18,8,20,2,11,4,NOP,southwest,west,45.0,6
2959,Trey Murphy III,0,0,2,0,2,0,NOP,southwest,west,0.0,0
2960,Tomas Satoransky,0,0,4,0,0,2,NOP,southwest,west,0.0,0
2961,Kira Lewis Jr.,0,0,3,0,3,0,NOP,southwest,west,0.0,0
2962,Jose Alvarado,5,2,4,1,2,1,NOP,southwest,west,62.5,1
2963,Willy Hernangomez,0,0,1,0,0,1,NOP,southwest,west,0.0,0
2964,Josh Hart,10,3,5,1,2,2,NOP,southwest,west,70.0,2
2965,Didi Louzada,0,0,3,0,3,0,NOP,southwest,west,0.0,0
2966,Nickeil Alexander-Walker,8,3,11,2,7,2,NOP,southwest,west,36.36363636363637,1
2967,Jonas Valanciunas,20,8,15,1,1,4,NOP,southwest,west,56.666666666666664,7
2968,Devonte' Graham,12,4,12,3,10,3,NOP,southwest,west,45.833333333333336,1
2969,Garrett Temple,5,1,6,1,4,3,NOP,southwest,west,25.0,0
2970,Tomas Satoransky,9,4,5,0,0,4,NOP,southwest,west,80.0,4
2971,Trey Murphy III,6,2,9,2,8,1,NOP,southwest,west,33.333333333333336,0
2972,Naji Marshall,8,3,7,0,3,0,NOP,southwest,west,42.857142857142854,3
2973,Kira Lewis Jr.,2,1,10,0,4,2,NOP,southwest,west,10.0,1
2974,Didi Louzada,0,0,0,0,0,1,NOP,southwest,west,,0
2975,Jose Alvarado,0,0,0,0,0,0,NOP,southwest,west,,0
2976,Tomas Satoransky,5,2,5,0,0,2,NOP,southwest,west,40.0,2
2977,Naji Marshall,5,2,5,1,3,0,NOP,southwest,west,50.0,1
2978,Nickeil Alexander-Walker,16,7,16,1,6,4,NOP,southwest,west,46.875,6
2979,Josh Hart,9,4,11,1,4,2,NOP,southwest,west,40.90909090909091,3
2980,Willy Hernangomez,8,2,2,0,0,1,NOP,southwest,west,100.0,2
2981,Jaxson Hayes,0,0,2,0,1,0,NOP,southwest,west,0.0,0
2982,Trey Murphy III,0,0,2,0,1,3,NOP,southwest,west,0.0,0
2983,Kira Lewis Jr.,14,6,9,2,3,0,NOP,southwest,west,77.77777777777777,4
2984,Jonas Valanciunas,14,5,13,2,3,2,NOP,southwest,west,46.15384615384615,3
2985,Devonte' Graham,16,5,9,4,7,7,NOP,southwest,west,77.77777777777777,1
2986,Garrett Temple,12,4,12,1,6,2,NOP,southwest,west,37.5,3
2987,Kira Lewis Jr.,4,2,8,0,3,2,NOP,southwest,west,25.0,2
2988,Jonas Valanciunas,23,9,16,3,4,2,NOP,southwest,west,65.625,6
2989,Trey Murphy III,8,3,11,2,6,1,NOP,southwest,west,36.36363636363637,1
2990,Nickeil Alexander-Walker,10,4,14,2,6,2,NOP,southwest,west,35.714285714285715,2
2991,Naji Marshall,5,1,1,0,0,1,NOP,southwest,west,100.0,1
2992,Herbert Jones,8,4,5,0,0,1,NOP,southwest,west,80.0,4
2993,Garrett Temple,8,2,4,2,4,2,NOP,southwest,west,75.0,0
2994,Jaxson Hayes,6,1,6,0,1,1,NOP,southwest,west,16.666666666666668,1
2995,Devonte' Graham,12,4,15,2,10,6,NOP,southwest,west,33.333333333333336,2
2996,Josh Hart,16,6,11,2,5,3,NOP,southwest,west,63.63636363636363,4
2997,Josh Hart,16,6,8,2,3,2,NOP,southwest,west,87.5,4
2998,Jaxson Hayes,6,2,4,0,1,1,NOP,southwest,west,50.0,2
2999,Trey Murphy III,7,1,3,1,3,1,NOP,southwest,west,50.0,0
3000,Devonte' Graham,17,6,21,2,9,8,NOP,southwest,west,33.333333333333336,4
3001,Jonas Valanciunas,27,10,15,1,3,4,NOP,southwest,west,70.0,9
3002,Nickeil Alexander-Walker,13,5,13,3,7,6,NOP,southwest,west,50.0,2
3003,Tomas Satoransky,3,1,3,1,1,0,NOP,southwest,west,50.0,0
3004,Kira Lewis Jr.,12,5,10,1,2,3,NOP,southwest,west,55.0,4
3005,Naji Marshall,4,0,2,0,1,0,NOP,southwest,west,0.0,0
3006,Herbert Jones,12,6,13,0,3,5,NOP,southwest,west,46.15384615384615,6
3007,Jaxson Hayes,9,3,8,0,2,0,NOP,southwest,west,37.5,3
3008,Herbert Jones,12,5,8,0,0,0,NOP,southwest,west,62.5,5
3009,Josh Hart,6,3,6,0,2,3,NOP,southwest,west,50.0,3
3010,Naji Marshall,4,1,2,0,0,2,NOP,southwest,west,50.0,1
3011,Willy Hernangomez,0,0,0,0,0,0,NOP,southwest,west,,0
3012,Kira Lewis Jr.,2,1,3,0,1,1,NOP,southwest,west,33.333333333333336,1
3013,Brandon Ingram,22,9,22,2,6,6,NOP,southwest,west,45.45454545454545,7
3014,Trey Murphy III,3,1,3,1,3,1,NOP,southwest,west,50.0,0
3015,Devonte' Graham,16,4,16,4,11,2,NOP,southwest,west,37.5,0
3016,Jonas Valanciunas,24,10,14,1,2,1,NOP,southwest,west,75.0,9
3017,Nickeil Alexander-Walker,11,5,16,1,7,2,NOP,southwest,west,34.375,4
3018,Jaxson Hayes,8,3,3,0,0,0,NOP,southwest,west,100.0,3
3019,Brandon Ingram,20,8,21,3,7,4,NOP,southwest,west,45.23809523809524,5
