Name,POS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,PER,Team
Donovan Mitchell,SG,11.9,22.4,52.9,4.7,9.1,51.6,7.9,8.3,94.8,7.1,13.3,53.8,1.618,0.63,7,7.0,37.7,36.3,0.9,4.1,5.0,4.9,1.0,0.3,4.1,1.6,1.2,33.85,UTAH
Mike Conley,PG,6.2,12.8,48.4,3.6,6.8,52.9,3.8,4.4,86.4,2.6,6.0,43.3,1.547,0.63,5,5.0,33.0,19.8,0.6,2.2,2.8,5.2,1.6,0.2,1.0,2.0,5.2,26.37,UTAH
Rudy Gobert,C,6.9,10.6,64.9,0.0,0.0,0.0,3.1,6.0,52.4,6.9,10.6,64.9,1.595,0.65,7,7.0,38.6,16.9,3.4,8.0,11.4,1.1,0.6,1.4,1.3,3.7,0.9,20.52,UTAH
Jordan Clarkson,PG,6.4,13.9,46.4,2.4,7.0,34.7,1.4,1.4,100.0,4.0,6.9,58.3,1.206,0.55,7,0.0,28.6,16.7,0.3,3.1,3.4,2.1,0.9,0.0,1.0,2.1,2.1,18.13,UTAH
Joe Ingles,SG,3.1,7.7,40.7,2.0,5.7,35.0,0.9,0.9,100.0,1.1,2.0,57.1,1.185,0.54,7,7.0,33.4,9.1,0.1,3.3,3.4,4.7,0.6,0.1,0.6,2.1,8.3,12.1,UTAH
Georges Niang,SF,3.1,6.3,50.0,1.7,4.1,41.4,0.3,0.3,100.0,1.4,2.1,66.7,1.318,0.64,7,0.0,16.3,8.3,0.6,1.6,2.1,0.6,0.0,0.1,0.3,1.3,2.0,17.03,UTAH
Royce O'Neale,PF,1.9,4.6,40.6,1.4,3.1,45.5,0.4,0.9,50.0,0.4,1.4,30.0,1.219,0.56,7,7.0,35.6,5.6,0.4,5.0,5.4,2.7,1.3,0.3,1.9,3.6,1.5,6.24,UTAH
Emmanuel Mudiay,G,1.7,4.7,35.7,0.7,1.0,66.7,0.3,0.7,50.0,1.0,3.7,27.3,0.929,0.43,3,0.0,11.3,4.3,0.3,1.7,2.0,0.7,0.0,0.3,0.3,0.0,2.0,9.83,UTAH
Miye Oni,SG,1.5,3.0,50.0,0.5,2.0,25.0,0.0,0.0,0.0,1.0,1.0,100.0,1.167,0.58,2,0.0,7.0,3.5,1.0,1.0,2.0,0.0,0.5,0.5,0.5,1.0,0.0,22.39,UTAH
Rayjon Tucker,G,1.0,2.5,40.0,0.5,1.5,33.3,0.0,0.0,0.0,0.5,1.0,50.0,1.0,0.5,2,0.0,5.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.69,UTAH
Tony Bradley,C,0.3,1.5,22.2,0.0,0.0,0.0,0.8,1.2,71.4,0.3,1.5,22.2,1.0,0.22,6,0.0,8.0,1.5,1.7,2.2,3.8,0.2,0.3,0.3,0.7,0.7,0.3,12.82,UTAH
Juwan Morgan,F,0.4,1.7,25.0,0.3,1.4,20.0,0.3,0.9,33.3,0.1,0.3,50.0,0.833,0.33,7,2.0,12.3,1.4,0.9,2.1,3.0,0.7,0.3,0.0,0.1,1.6,5.0,5.39,UTAH
Jarrell Brantley,PF,0.0,2.5,0.0,0.0,1.5,0.0,0.5,1.0,50.0,0.0,1.0,0.0,0.2,0.0,2,0.0,6.5,0.5,1.5,0.5,2.0,1.0,0.0,0.5,0.5,2.0,2.0,-5.26,UTAH
Nigel Williams-Goss,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,inf,17.96,UTAH
