,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,PLAYER_ID,TEAM_ID
155,156,Ian Mahinmi,DAL,24,6,4,2,5.6,1.8,0.5,0.8,60.0,0.0,0.0,0.0,0.8,1.5,55.6,0.5,0.5,1.0,0.0,0.0,0.2,0.0,2.7,3.5,0,0,-2.0,101133,1610612742
156,157,Damien Wilkins,ATL,31,8,2,6,4.8,1.8,0.9,1.6,53.8,0.0,0.3,0.0,0.0,0.0,0.0,0.4,0.6,1.0,0.1,0.3,0.3,0.3,0.3,4.4,0,0,1.1,2863,1610612737
157,157,Jason Collins,ATL,32,12,6,6,13.2,1.8,0.8,1.2,64.3,0.0,0.0,0.0,0.3,0.7,37.5,0.5,0.9,1.4,0.1,0.4,0.4,0.3,2.6,5.2,0,0,-1.8,2215,1610612737
158,157,Landry Fields,NYK,23,4,0,4,17.7,1.8,0.8,3.8,20.0,0.0,1.0,0.0,0.3,1.5,16.7,0.3,1.0,1.3,1.3,1.0,0.5,0.8,0.0,7.9,0,0,-6.8,202361,1610612752
159,157,Leon Powe,MEM,27,4,1,3,3.5,1.8,0.5,2.0,25.0,0.0,0.0,0.0,0.8,1.0,75.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0,-2.3,200796,1610612763
160,161,Nenad Krstic,BOS,27,7,4,3,8.0,1.7,0.7,1.1,62.5,0.0,0.0,0.0,0.3,0.4,66.7,0.7,1.0,1.7,0.3,0.4,0.0,0.6,1.1,5.5,0,0,-3.1,2420,1610612738
161,162,Eddie House,MIA,33,7,3,4,6.8,1.6,0.6,2.4,23.5,0.4,1.4,30.0,0.0,0.0,0.0,0.1,0.6,0.7,0.1,0.6,0.6,0.0,0.9,3.8,0,0,0.0,2067,1610612748
162,163,Juwan Howard,MIA,38,11,6,5,5.5,1.5,0.4,0.8,44.4,0.0,0.0,0.0,0.8,1.2,69.2,0.3,0.6,0.9,0.1,0.2,0.0,0.0,0.7,2.6,0,0,-0.6,436,1610612748
163,164,Corey Brewer,DAL,25,6,6,0,3.8,1.5,0.7,1.5,44.4,0.2,0.5,33.3,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.3,0.7,0.0,0.8,3.8,0,0,1.2,201147,1610612742
164,164,Pape Sy,ATL,23,4,0,4,2.7,1.5,0.5,0.8,66.7,0.0,0.0,0.0,0.5,1.0,50.0,0.3,0.0,0.3,0.8,0.3,0.3,0.0,0.3,3.4,0,0,1.5,202377,1610612737
165,164,Patrick Ewing,NOH,27,2,0,2,1.0,1.5,0.5,0.5,100.0,0.5,0.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0,0,-0.5,201607,1610612740
166,167,Tony Battie,PHI,35,5,1,4,7.5,1.4,0.6,1.4,42.9,0.0,0.0,0.0,0.2,0.4,50.0,0.4,1.6,2.0,0.0,0.2,0.0,0.6,1.0,5.4,0,0,-3.0,1499,1610612755
167,168,Jamaal Magloire,MIA,33,3,2,1,5.9,1.3,0.7,1.7,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.3,1.7,0.7,0.3,0.3,0.0,1.3,5.0,0,0,-4.3,2048,1610612748
168,169,Danny Green,SAS,24,4,1,3,1.8,1.3,0.5,1.5,33.3,0.3,1.0,25.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.3,0.3,0.3,0.3,3.6,0,0,0.8,201980,1610612759
169,170,Hamed Haddadi,MEM,26,9,5,4,3.4,1.2,0.3,1.1,30.0,0.0,0.1,0.0,0.6,0.7,83.3,0.3,0.6,0.9,0.0,0.2,0.0,0.6,0.8,3.7,0,0,0.9,201632,1610612763
